,Country,1/2/3 PD,Audience Type Category,Vehicle,Spend
103,Canada,3PD Audience,ABM-2PD AUDIENCE,Display,0.0
104,Canada,3PD Audience,AFFINITY-3PD BEHAVIOR,Display,96119.66
105,Canada,3PD Audience,AFFINITY-3PD BEHAVIOR,Video,96724.03
106,Canada,3PD Audience,DMP-3PD AUDIENCE,Display,7557.6
107,Canada,3PD Audience,DMP-3PD AUDIENCE,Video,136074.67
108,Canada,3PD Audience,IN MARKET-3PD BEHAVIOR,Display,320995.4
109,Canada,3PD Audience,IN MARKET-3PD BEHAVIOR,Social,726597.14
110,Canada,3PD Audience,IN MARKET-3PD BEHAVIOR,Video,56750.69
111,Canada,3PD Audience,ROS-3PD PMP,Display,25316.68
112,Canada,3PD Audience,SITE IN MARKET-3PD BEHAVIOR,Display,33138.87
113,Canada,3PD Contextual,CATEGORY-3PD CONTEXTUAL,Display,22456.69
114,Canada,3PD Contextual,CATEGORY-3PD CONTEXTUAL,Social,91985.5
115,Canada,3PD Contextual,CATEGORY-3PD CONTEXTUAL,Video,147165.54
116,Canada,3PD Contextual,IN MARKET-3PD CONTEXTUAL,Audio,48384.44
117,Canada,3PD Contextual,IN MARKET-3PD CONTEXTUAL,Display,103198.88
118,Canada,3PD Contextual,IN MARKET-3PD CONTEXTUAL,Video,165090.03
119,Canada,ABM-2PD AUDIENCE,ABM-2PD AUDIENCE,Display,20.816942713
120,Canada,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,CTV,494.6397694
121,Canada,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,Display,184643.918744388
122,Canada,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,Video,17395.421443599
123,Canada,CATEGORY-3PD CONTEXTUAL,CATEGORY-3PD CONTEXTUAL,CTV,22134.267378999997
124,Canada,CATEGORY-3PD CONTEXTUAL,CATEGORY-3PD CONTEXTUAL,Display,37754.4210388
125,Canada,CATEGORY-3PD CONTEXTUAL,CATEGORY-3PD CONTEXTUAL,Video,137062.3714103
126,Canada,CHECK,CATEGORY-3PD CONTEXTUAL,Display,9610.4
127,Canada,CHECK,DMP-3PD AUDIENCE,Video,8011.530000000001
128,Canada,CHECK,IN MARKET-3PD BEHAVIOR,Display,0.0
129,Canada,CHECK,IN MARKET-3PD BEHAVIOR,Social,88741.11
130,Canada,CHECK,IN MARKET-3PD CONTEXTUAL,Video,0.0
131,Canada,CHECK,MEDIA-1PD MEDIA,Video,90.16
132,Canada,CRM-1PD CRM,CRM-1PD CRM,Display,119.269636455
133,Canada,DMP-3PD AUDIENCE,DMP-3PD AUDIENCE,Audio,1578.632361304
134,Canada,DMP-3PD AUDIENCE,DMP-3PD AUDIENCE,CTV,46088.8120529
135,Canada,DMP-3PD AUDIENCE,DMP-3PD AUDIENCE,Display,32549.949968612
136,Canada,DMP-3PD AUDIENCE,DMP-3PD AUDIENCE,Video,69726.855094892
137,Canada,DOMAIN-3PD CONTEXTUAL,DOMAIN-3PD CONTEXTUAL,Video,14544.468191
138,Canada,IN MARKET-3PD BEHAVIOR,IN MARKET-3PD BEHAVIOR,CTV,69955.97559718
139,Canada,IN MARKET-3PD BEHAVIOR,IN MARKET-3PD BEHAVIOR,Display,629625.504397214
140,Canada,IN MARKET-3PD BEHAVIOR,IN MARKET-3PD BEHAVIOR,Display Mobile,75447.362204729
141,Canada,IN MARKET-3PD BEHAVIOR,IN MARKET-3PD BEHAVIOR,Video,83081.04762472
142,Canada,IN MARKET-3PD CONTEXTUAL,IN MARKET-3PD CONTEXTUAL,Audio,22694.6869855
143,Canada,IN MARKET-3PD CONTEXTUAL,IN MARKET-3PD CONTEXTUAL,CTV,20798.8766242
144,Canada,IN MARKET-3PD CONTEXTUAL,IN MARKET-3PD CONTEXTUAL,Display,35158.0068314
145,Canada,IN MARKET-3PD CONTEXTUAL,IN MARKET-3PD CONTEXTUAL,Display Mobile,138703.01210744
146,Canada,IN MARKET-3PD CONTEXTUAL,IN MARKET-3PD CONTEXTUAL,Video,780.7174831699999
147,Canada,LAPSED-1PD PIXEL,LAPSED-1PD PIXEL,CTV,14432.951789499999
148,Canada,LAPSED-1PD PIXEL,LAPSED-1PD PIXEL,Display,526980.073845698
149,Canada,LAPSED-1PD PIXEL,LAPSED-1PD PIXEL,Display Mobile,4805.82414624
150,Canada,LAPSED-1PD PIXEL,LAPSED-1PD PIXEL,Video,36763.654366
151,Canada,MEDIA-1PD MEDIA,MEDIA-1PD MEDIA,Video,1425.7230069
152,Canada,PERSONA-1PD RETARGET,PERSONA-1PD RETARGET,Display,8752.6349111
153,Canada,RETARGET-1PD RETARGET,RETARGET-1PD RETARGET,CTV,2184.3328556
154,Canada,RETARGET-1PD RETARGET,RETARGET-1PD RETARGET,Display,276748.42566681
155,Canada,RETARGET-1PD RETARGET,RETARGET-1PD RETARGET,Display Mobile,90111.260863938
156,Canada,RETARGET-1PD RETARGET,RETARGET-1PD RETARGET,Video,25606.78792021
157,Canada,ROS-3PD PMP,ROS-3PD PMP,Display,19115.648306
158,Canada,SITE IN MARKET-3PD BEHAVIOR,SITE IN MARKET-3PD BEHAVIOR,Display,23664.66455365
159,Colombia,CHECK,IN MARKET-3PD BEHAVIOR,Social,11478.39
160,France,1PD  Audience,EMAIL-1PD CRM,Display,0.0
161,France,1PD  Audience,RETARGET-1PD RETARGET,Display,13434.1
162,France,2PD Audience,ABM-2PD AUDIENCE,Display,52982.68
163,France,2PD Audience,ABM-2PD AUDIENCE,Video,26094.99
164,France,2PD Audience,DMP-2PD AUDIENCE,Display,12981.39
165,France,2PD Audience,PUBLISHER-2PD,Display,16442.16
166,France,2PD Audience,PUBLISHER-2PD,Social,848949.04
167,France,3PD Audience,ABM-2PD AUDIENCE,Social,43889.35
168,France,3PD Audience,AFFINITY-3PD BEHAVIOR,Display,139711.07
169,France,3PD Audience,DIGITAL-3PD RETARGET EXPOSED,Display,3983.58
170,France,3PD Audience,DMP-3PD AUDIENCE,Display,55322.46
171,France,3PD Audience,DMP-3PD LAL,Display,30716.210000000003
172,France,3PD Audience,IN MARKET-3PD BEHAVIOR,Display,107007.9
173,France,3PD Contextual,KCT-3PD CONTEXTUAL,Display,102311.02
174,France,3PD Contextual,KCT-3PD CONTEXTUAL,Video,0.0
175,France,3PD Contextual,PROXIMITY-3PD CONTEXTUAL,Display,41787.15
176,France,ABM-2PD AUDIENCE,ABM-2PD AUDIENCE,Display,198585.19929735
177,France,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,Display,12104.2045067
178,France,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,Display Mobile,13771.2797073
179,France,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,Video,0.0
180,France,CHECK,ABM-2PD AUDIENCE,Display,0.0
181,France,CHECK,ABM-2PD AUDIENCE,Video,0.0
182,France,CHECK,IN MARKET-3PD BEHAVIOR,Social,29815.5
183,France,DIGITAL-3PD RETARGET EXPOSED,DIGITAL-3PD RETARGET EXPOSED,Display,1812.3419999999999
184,France,DMP-2PD AUDIENCE,DMP-2PD AUDIENCE,Display,4699.966548022
185,France,DMP-3PD AUDIENCE,DMP-3PD AUDIENCE,Display,0.0
186,France,DMP-3PD LAL,DMP-3PD LAL,Display,6331.928533301
187,France,IN MARKET-3PD BEHAVIOR,IN MARKET-3PD BEHAVIOR,Display,0.0
188,France,IN MARKET-3PD BEHAVIOR,IN MARKET-3PD BEHAVIOR,Display Mobile,0.0
189,France,KCT-3PD CONTEXTUAL,KCT-3PD CONTEXTUAL,Display,90487.21115292101
190,France,PROXIMITY-3PD CONTEXTUAL,PROXIMITY-3PD CONTEXTUAL,Display,0.0
191,France,RETARGET-1PD RETARGET,RETARGET-1PD RETARGET,Display,38115.63095272
192,Germany,1PD  Audience,RETARGET-1PD RETARGET,Display,43262.43
193,Germany,2PD Audience,ABM-2PD AUDIENCE,Display,68936.5
194,Germany,2PD Audience,ABM-2PD AUDIENCE,Video,63197.61
195,Germany,2PD Audience,DMP-2PD AUDIENCE,Display,14883.27
196,Germany,2PD Audience,PUBLISHER-2PD,Social,823941.5700000001
197,Germany,3PD Audience,ABM-2PD AUDIENCE,Social,31640.56
198,Germany,3PD Audience,AFFINITY-3PD BEHAVIOR,Display,110771.89
199,Germany,3PD Audience,DIGITAL-3PD RETARGET EXPOSED,Display,3813.33
200,Germany,3PD Audience,DMP-3PD AUDIENCE,Audio,0.0
201,Germany,3PD Audience,DMP-3PD AUDIENCE,Display,280593.65
202,Germany,3PD Audience,DMP-3PD AUDIENCE,Video,30434.53
203,Germany,3PD Audience,DMP-3PD LAL,Display,46319.829999999994
204,Germany,3PD Contextual,CATEGORY-3PD CONTEXTUAL,Display,0.0
205,Germany,3PD Contextual,IN MARKET-3PD CONTEXTUAL,Display,0.0
206,Germany,3PD Contextual,IN MARKET-3PD CONTEXTUAL,Video,266840.42
207,Germany,3PD Contextual,KCT-3PD CONTEXTUAL,Display,136131.68
208,Germany,3PD Contextual,KCT-3PD CONTEXTUAL,Video,0.0
209,Germany,ABM-2PD AUDIENCE,ABM-2PD AUDIENCE,Display,191528.3889309
210,Germany,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,Display,193616.40588
211,Germany,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,Video,163246.0796
212,Germany,CATEGORY-3PD CONTEXTUAL,CATEGORY-3PD CONTEXTUAL,Display,67718.3111598
213,Germany,CHECK,ABM-2PD AUDIENCE,Display,0.0
214,Germany,CHECK,ABM-2PD AUDIENCE,Video,0.0
215,Germany,CHECK,IN MARKET-3PD BEHAVIOR,Social,33378.729999999996
216,Germany,DIGITAL-3PD RETARGET EXPOSED,DIGITAL-3PD RETARGET EXPOSED,Display,1474.37
217,Germany,DMP-2PD AUDIENCE,DMP-2PD AUDIENCE,Display,8000.0896410099995
218,Germany,DMP-3PD AUDIENCE,DMP-3PD AUDIENCE,Display,231036.801090007
219,Germany,DMP-3PD AUDIENCE,DMP-3PD AUDIENCE,Video,0.0
220,Germany,KCT-3PD CONTEXTUAL,KCT-3PD CONTEXTUAL,Display,108914.77109185
221,Germany,Other / NON DMP Audience,SPONSORSHIP,Social,0.0
222,Germany,RETARGET-1PD RETARGET,RETARGET-1PD RETARGET,Display,72217.40092997
223,India,1PD  Audience,RETARGET-1PD RETARGET,Display,25424.86
224,India,1PD  Audience,RETARGET-1PD RETARGET,Video,1574.78
225,India,2PD Audience,PUBLISHER-2PD,Social,21248.32
226,India,3PD Audience,ABM-2PD AUDIENCE,Display,7405.2300000000005
227,India,3PD Audience,ABM-2PD AUDIENCE,Video,3003.44
228,India,3PD Audience,AFFINITY-3PD BEHAVIOR,CTV,0.0
229,India,3PD Audience,AFFINITY-3PD BEHAVIOR,Display,5701.96
230,India,3PD Audience,AFFINITY-3PD BEHAVIOR,Video,3910.73
231,India,3PD Audience,DMP-3PD AUDIENCE,CTV,0.0
232,India,3PD Audience,DMP-3PD AUDIENCE,Display,52164.34
233,India,3PD Audience,DMP-3PD AUDIENCE,Video,878.44
234,India,3PD Audience,DMP-3PD LAL,Display,129.05
235,India,3PD Audience,DMP-3PD LAL,Video,979.31
236,India,3PD Audience,IN MARKET-3PD BEHAVIOR,Display,51576.21
237,India,3PD Audience,IN MARKET-3PD BEHAVIOR,Video,20567.1
238,India,3PD Contextual,CATEGORY-3PD CONTEXTUAL,Display,13363.85
239,India,3PD Contextual,CATEGORY-3PD CONTEXTUAL,Video,6107.360000000001
240,India,3PD Contextual,IN MARKET-3PD CONTEXTUAL,Display,0.0
241,India,3PD Contextual,IN MARKET-3PD CONTEXTUAL,Video,0.0
242,India,3PD Contextual,KCT-3PD CONTEXTUAL,Display,5973.07
243,India,3PD Contextual,KCT-3PD CONTEXTUAL,Video,2433.0
244,India,ABM-2PD AUDIENCE,ABM-2PD AUDIENCE,Display,9200.574921
245,India,ABM-2PD AUDIENCE,ABM-2PD AUDIENCE,Display Mobile,927.594152
246,India,ABM-2PD AUDIENCE,ABM-2PD AUDIENCE,Video,6197.672443
247,India,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,CTV,0.0
248,India,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,Display,10917.71910929
249,India,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,Display Mobile,1910.473522
250,India,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,Video,3874.559477
251,India,CATEGORY-3PD CONTEXTUAL,CATEGORY-3PD CONTEXTUAL,Display,3427.952024
252,India,CATEGORY-3PD CONTEXTUAL,CATEGORY-3PD CONTEXTUAL,Display Mobile,1584.325548
253,India,CATEGORY-3PD CONTEXTUAL,CATEGORY-3PD CONTEXTUAL,Video,3128.234708
254,India,CHECK,IN MARKET-3PD BEHAVIOR,Display,0.0
255,India,CHECK,IN MARKET-3PD BEHAVIOR,Social,136555.95
256,India,DMP-3PD AUDIENCE,DMP-3PD AUDIENCE,CTV,0.0
257,India,DMP-3PD AUDIENCE,DMP-3PD AUDIENCE,Display,1954.13
258,India,DMP-3PD AUDIENCE,DMP-3PD AUDIENCE,Display Mobile,42.839999999999996
259,India,DMP-3PD AUDIENCE,DMP-3PD AUDIENCE,Video,1011.05
260,India,DMP-3PD LAL,DMP-3PD LAL,Display,7.218999000000001
261,India,DMP-3PD LAL,DMP-3PD LAL,Video,769.433176
262,India,IN MARKET-3PD BEHAVIOR,IN MARKET-3PD BEHAVIOR,Display,38846.316671
263,India,IN MARKET-3PD BEHAVIOR,IN MARKET-3PD BEHAVIOR,Display Mobile,2197.930113
264,India,IN MARKET-3PD BEHAVIOR,IN MARKET-3PD BEHAVIOR,Video,22990.190424
265,India,KCT-3PD CONTEXTUAL,KCT-3PD CONTEXTUAL,Display,1558.8099359999999
266,India,KCT-3PD CONTEXTUAL,KCT-3PD CONTEXTUAL,Display Mobile,806.9277569999999
267,India,KCT-3PD CONTEXTUAL,KCT-3PD CONTEXTUAL,Video,1796.709489
268,India,RETARGET-1PD RETARGET,RETARGET-1PD RETARGET,Display,30108.703911346
269,India,RETARGET-1PD RETARGET,RETARGET-1PD RETARGET,Display Mobile,1503.317152
270,India,RETARGET-1PD RETARGET,RETARGET-1PD RETARGET,Video,3445.784642
271,India,SITE IN MARKET-3PD BEHAVIOR,SITE IN MARKET-3PD BEHAVIOR,Display,0.0
272,Ireland,2PD Audience,ABM-2PD AUDIENCE,Display,0.0
273,Ireland,2PD Audience,ABM-2PD AUDIENCE,Video,4675.0
274,Ireland,2PD Audience,PUBLISHER-2PD,Social,29104.27
275,Ireland,3PD Audience,ABM-2PD AUDIENCE,Social,17073.78
276,Ireland,3PD Contextual,CATEGORY-3PD CONTEXTUAL,Display,0.0
277,Ireland,3PD Contextual,KCT-3PD CONTEXTUAL,Display,8771.99
278,Ireland,3PD Contextual,KCT-3PD CONTEXTUAL,Video,0.0
279,Ireland,ABM-2PD AUDIENCE,ABM-2PD AUDIENCE,Display,30946.141475200002
280,Ireland,CATEGORY-3PD CONTEXTUAL,CATEGORY-3PD CONTEXTUAL,Display,20000.000001
281,Ireland,CHECK,IN MARKET-3PD BEHAVIOR,Social,6574.23
282,Ireland,KCT-3PD CONTEXTUAL,KCT-3PD CONTEXTUAL,Display,0.0
283,Italy,2PD Audience,ABM-2PD AUDIENCE,Display,0.0
284,Italy,2PD Audience,ABM-2PD AUDIENCE,Video,10030.0
285,Italy,2PD Audience,PUBLISHER-2PD,Social,27655.88
286,Italy,3PD Audience,ABM-2PD AUDIENCE,Social,17524.21
287,Italy,3PD Contextual,CATEGORY-3PD CONTEXTUAL,Display,0.0
288,Italy,3PD Contextual,KCT-3PD CONTEXTUAL,Display,3400.05
289,Italy,3PD Contextual,KCT-3PD CONTEXTUAL,Video,19975.0
290,Italy,ABM-2PD AUDIENCE,ABM-2PD AUDIENCE,Display,64581.8440644
291,Italy,CATEGORY-3PD CONTEXTUAL,CATEGORY-3PD CONTEXTUAL,Display,13000.0000029
292,Italy,CHECK,ABM-2PD AUDIENCE,Video,0.0
293,Italy,CHECK,IN MARKET-3PD BEHAVIOR,Social,10601.32
294,Italy,KCT-3PD CONTEXTUAL,KCT-3PD CONTEXTUAL,Display,7267.38237673
295,Japan,1PD  Audience,MEDIA-1PD MEDIA,Display,337990.04
296,Japan,1PD  Audience,MEDIA-1PD MEDIA,Social,0.0
297,Japan,1PD  Audience,MEDIA-1PD MEDIA,Video,383717.26
298,Japan,1PD  Audience,RETARGET-1PD RETARGET,Display,41553.87
299,Japan,1PD  Audience,RETARGET-1PD RETARGET,Video,3136.9700000000003
300,Japan,2PD Audience,PUBLISHER-2PD,Social,20135.26
301,Japan,3PD Audience,ABM-2PD AUDIENCE,Display,13806.03
302,Japan,3PD Audience,ABM-2PD AUDIENCE,Video,6574.99
303,Japan,3PD Audience,AFFINITY-3PD BEHAVIOR,Display,66754.7
304,Japan,3PD Audience,AFFINITY-3PD BEHAVIOR,Video,19081.75
305,Japan,3PD Audience,DMP-3PD AUDIENCE,Display,3821.63
306,Japan,3PD Audience,DMP-3PD AUDIENCE,Video,1149.5
307,Japan,3PD Audience,DMP-3PD LAL,Display,37.19
308,Japan,3PD Audience,DMP-3PD LAL,Video,0.0
309,Japan,3PD Audience,IN MARKET-3PD BEHAVIOR,Display,77743.44
310,Japan,3PD Audience,IN MARKET-3PD BEHAVIOR,Video,10916.92
311,Japan,3PD Audience,SITE IN MARKET-3PD BEHAVIOR,Display,0.0
312,Japan,3PD Contextual,CATEGORY-3PD CONTEXTUAL,Display,61074.8
313,Japan,3PD Contextual,CATEGORY-3PD CONTEXTUAL,Video,12656.95
314,Japan,3PD Contextual,DOMAIN-3PD CONTEXTUAL,Display,0.0
315,Japan,3PD Contextual,DOMAIN-3PD CONTEXTUAL,Video,1065.79
316,Japan,3PD Contextual,KCT-3PD CONTEXTUAL,Display,4426.28
317,Japan,3PD Contextual,KCT-3PD CONTEXTUAL,Video,912.89
318,Japan,ABM-2PD AUDIENCE,ABM-2PD AUDIENCE,Display,18090.943669
319,Japan,ABM-2PD AUDIENCE,ABM-2PD AUDIENCE,Display Mobile,1711.690451
320,Japan,ABM-2PD AUDIENCE,ABM-2PD AUDIENCE,Video,9787.361396
321,Japan,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,Display,9769.219213
322,Japan,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,Display Mobile,7507.507498
323,Japan,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,Video,15566.970854
324,Japan,CATEGORY-3PD CONTEXTUAL,CATEGORY-3PD CONTEXTUAL,Display,19138.224554
