,Region:Request Segment,Browser,Revenue,Visits,Unique Visitors,Browser_Group,Region_Group
29,AMER:BSDT Online,Google Chrome 100.0,601532.87,85718.0,73671.0,Google,AMER
30,AMER:BSDT Online,Google Chrome 105.0,596421.55,109605.0,81361.0,Google,AMER
31,AMER:BSDT Online,Google Chrome 103.0,580690.44,332942.0,299678.0,Google,AMER
32,AMER:BSDT Online,Google Chrome 99.0,560365.28,338743.0,331400.0,Google,AMER
33,AMER:BSDT Online,Safari 15.5,530654.89,178389.0,130446.0,Safari,AMER
34,AMER:BSDT Online,Google Chrome 106.0,489717.98,90016.0,69286.0,Google,AMER
35,AMER:BSDT Online,Samsung Browser 20.0,471559.43,1228522.0,683418.0,Samsung,AMER
36,AMER:BSDT Online,Safari 14.0,453567.01,80798.0,64594.0,Safari,AMER
37,AMER:BSDT Online,Firefox 113.0,373120.06,6252.0,3916.0,Firefox,AMER
38,AMER:BSDT Online,Opera 97.0,328281.46,133175.0,79199.0,Opera,AMER
39,AMER:BSDT Online,Safari 14.1,309784.19,171377.0,125817.0,Safari,AMER
40,AMER:BSDT Online,Safari 15.6.1,294840.44,62187.0,45629.0,Safari,AMER
41,AMER:BSDT Online,Mozilla Firefox 108.0,274781.63,35778.0,25958.0,Mozilla,AMER
42,AMER:BSDT Online,Safari 15.3,272200.56,53508.0,40323.0,Safari,AMER
43,AMER:BSDT Online,Opera 96.0,269037.98,142345.0,82710.0,Opera,AMER
44,AMER:BSDT Online,Google Chrome 102.0,242015.7,87111.0,75369.0,Google,AMER
45,AMER:BSDT Online,Safari 15.4,237292.5,91344.0,64814.0,Safari,AMER
46,AMER:BSDT Online,Google Chrome 104.0,199167.7,82683.0,67390.0,Google,AMER
47,AMER:BSDT Online,Safari 15.2,190720.97,29830.0,21263.0,Safari,AMER
48,AMER:BSDT Online,Chrome Mobile 108.0,165407.06,305201.0,201428.0,Chrome,AMER
49,AMER:BSDT Online,Samsung Browser 19.0,152000.21,259152.0,174296.0,Samsung,AMER
50,AMER:BSDT Online,Safari 16.5,151188.24,39190.0,23547.0,Safari,AMER
51,AMER:BSDT Online,Google Chrome 101.0,149622.83,88003.0,79644.0,Google,AMER
52,AMER:BSDT Online,Opera 95.0,139718.04,80425.0,51863.0,Opera,AMER
53,AMER:BSDT Online,Microsoft Edge 107.0,128713.61,32629.0,23707.0,Microsoft,AMER
54,AMER:BSDT Online,Safari 15.1,125828.18,33248.0,23099.0,Safari,AMER
55,AMER:BSDT Online,Mozilla Firefox 105.0,112063.32,38499.0,35556.0,Mozilla,AMER
56,AMER:BSDT Online,Google Chrome 96.0,102603.19,236012.0,228965.0,Google,AMER
57,AMER:BSDT Online,Safari 14.1.2,93176.65,14949.0,11154.0,Safari,AMER
58,AMER:BSDT Online,Google Chrome 97.0,88713.41,55577.0,49765.0,Google,AMER
59,AMER:BSDT Online,Google Chrome 98.0,88645.04,64169.0,58791.0,Google,AMER
60,AMER:BSDT Online,Mozilla Firefox 91.0,88055.43,18191.0,12799.0,Mozilla,AMER
61,AMER:BSDT Online,Google Chrome 92.0,75447.87,22688.0,16119.0,Google,AMER
62,AMER:BSDT Online,Samsung Browser,74344.14,9899.0,6910.0,Samsung,AMER
63,AMER:BSDT Online,Chrome Mobile 86.0,71599.54,12075.0,8407.0,Chrome,AMER
64,AMER:BSDT Online,Edge 113.0,70387.4,6541.0,4099.0,Edge,AMER
65,AMER:BSDT Online,Safari (unknown version),69744.67,30017.0,25721.0,Safari,AMER
66,AMER:BSDT Online,Mozilla Firefox 106.0,68178.12,14082.0,10739.0,Mozilla,AMER
67,AMER:BSDT Online,Google Chrome 87.0,68104.05,76566.0,45950.0,Google,AMER
68,AMER:BSDT Online,Google Chrome 84.0,67675.16,10861.0,8650.0,Google,AMER
69,AMER:BSDT Online,Mozilla Firefox 107.0,65792.29,21250.0,17164.0,Mozilla,AMER
70,AMER:BSDT Online,Google Chrome 91.0,60359.01,50941.0,46533.0,Google,AMER
71,AMER:BSDT Online,Safari 15.0,54268.04,25714.0,19921.0,Safari,AMER
72,AMER:BSDT Online,Chrome Mobile 107.0,48235.93,126808.0,85354.0,Chrome,AMER
73,AMER:BSDT Online,Opera 98.0,46142.43,15612.0,10198.0,Opera,AMER
74,AMER:BSDT Online,Microsoft Edge 105.0,45914.56,13061.0,9212.0,Microsoft,AMER
75,AMER:BSDT Online,Microsoft Edge 106.0,40735.97,15679.0,11017.0,Microsoft,AMER
76,AMER:BSDT Online,Edge 114.0,38863.21,5176.0,3085.0,Edge,AMER
77,AMER:BSDT Online,Safari 13.1,38324.62,31434.0,22629.0,Safari,AMER
78,AMER:BSDT Online,Chrome Mobile 104.0,37043.0,113523.0,82663.0,Chrome,AMER
79,AMER:BSDT Online,Google Chrome 94.0,36265.74,70798.0,67985.0,Google,AMER
80,AMER:BSDT Online,Microsoft Edge 103.0,35766.85,12091.0,8302.0,Microsoft,AMER
81,AMER:BSDT Online,Chrome Mobile 106.0,32704.2,161790.0,101797.0,Chrome,AMER
82,AMER:BSDT Online,Google Chrome 90.0,31439.9,51798.0,45223.0,Google,AMER
83,AMER:BSDT Online,Mozilla Firefox 104.0,31048.17,6162.0,4250.0,Mozilla,AMER
84,AMER:BSDT Online,Mozilla Firefox 95.0,27420.91,2825.0,1953.0,Mozilla,AMER
85,AMER:BSDT Online,Microsoft Edge 92.0,27095.43,270463.0,234441.0,Microsoft,AMER
86,AMER:BSDT Online,Google Chrome 76.0,26153.67,8210.0,6454.0,Google,AMER
87,AMER:BSDT Online,Safari 12.1,24999.39,55485.0,38345.0,Safari,AMER
88,AMER:BSDT Online,Microsoft Edge 102.0,24109.41,7013.0,5193.0,Microsoft,AMER
89,AMER:BSDT Online,Google Chrome 89.0,23909.44,46487.0,44193.0,Google,AMER
90,AMER:BSDT Online,Google Chrome 93.0,23507.1,53584.0,49912.0,Google,AMER
91,AMER:BSDT Online,Avast Secure Browser,23456.77,6375.0,4169.0,Avast,AMER
92,AMER:BSDT Online,Safari 14.1.1,22456.06,3167.0,2349.0,Safari,AMER
93,AMER:BSDT Online,Mozilla Firefox 78.0,22128.99,8957.0,6210.0,Mozilla,AMER
94,AMER:BSDT Online,Google Chrome 88.0,22015.66,209038.0,207278.0,Google,AMER
95,AMER:BSDT Online,Chrome Mobile 43.0,21910.12,645.0,422.0,Chrome,AMER
96,AMER:BSDT Online,Mozilla Firefox 103.0,21403.83,11089.0,9226.0,Mozilla,AMER
97,AMER:BSDT Online,Chrome 99.108,21071.27,44.0,6.0,Chrome,AMER
98,AMER:BSDT Online,Mozilla Firefox 97.0,21022.74,2622.0,1752.0,Mozilla,AMER
99,AMER:BSDT Online,::other::,794470.1,4376434.0,0.0,other,AMER
100,EMEA:Channel Online,Chrome 111.0,114322684.0,122011.0,40888.0,Chrome,EMEA
101,EMEA:Channel Online,Edge 112.0,81494931.79,43397.0,11151.0,Edge,EMEA
102,EMEA:Channel Online,Chrome 112.0,81389601.8,67961.0,21507.0,Chrome,EMEA
103,EMEA:Channel Online,Google Chrome (unknown version),64542857.64,83967.0,24712.0,Google,EMEA
104,EMEA:Channel Online,Edge 111.0,55052022.22,45263.0,11630.0,Edge,EMEA
105,EMEA:Channel Online,Google Chrome 109.0,39557460.55,49953.0,18986.0,Google,EMEA
106,EMEA:Channel Online,Chrome 110.0,32945014.25,55484.0,31903.0,Chrome,EMEA
107,EMEA:Channel Online,Edge 110.0,27556361.46,23172.0,7745.0,Edge,EMEA
108,EMEA:Channel Online,Firefox 112.0,16644074.82,9622.0,3092.0,Firefox,EMEA
109,EMEA:Channel Online,Microsoft Edge 109.0,14320614.91,23543.0,6906.0,Microsoft,EMEA
110,EMEA:Channel Online,Firefox 111.0,8844036.87,16268.0,4311.0,Firefox,EMEA
111,EMEA:Channel Online,Firefox 110.0,5477596.73,8848.0,2676.0,Firefox,EMEA
112,EMEA:Channel Online,Microsoft Edge 107.0,5329479.48,1105.0,462.0,Microsoft,EMEA
113,EMEA:Channel Online,Chrome 113.0,5002446.7,2125.0,1148.0,Chrome,EMEA
114,EMEA:Channel Online,Mozilla Firefox 109.0,4948929.12,8456.0,2834.0,Mozilla,EMEA
115,EMEA:Channel Online,Mozilla Firefox 102.0,3866002.32,2839.0,473.0,Mozilla,EMEA
116,EMEA:Channel Online,Mozilla Firefox (unknown version),3061849.97,7535.0,2409.0,Mozilla,EMEA
117,EMEA:Channel Online,Google Chrome 108.0,1888633.32,3823.0,1691.0,Google,EMEA
118,EMEA:Channel Online,Mozilla Firefox 108.0,918800.89,454.0,160.0,Mozilla,EMEA
119,EMEA:Channel Online,Google Chrome 106.0,831237.67,585.0,114.0,Google,EMEA
120,EMEA:Channel Online,Microsoft Edge 108.0,677252.39,658.0,348.0,Microsoft,EMEA
121,EMEA:Channel Online,Mozilla Firefox 91.0,658187.09,176.0,40.0,Mozilla,EMEA
122,EMEA:Channel Online,Google Chrome 107.0,473583.08,1149.0,190.0,Google,EMEA
123,EMEA:Channel Online,Google Chrome 90.0,445352.45,50.0,14.0,Google,EMEA
124,EMEA:Channel Online,Opera 97.0,431030.32,694.0,262.0,Opera,EMEA
125,EMEA:Channel Online,Opera 96.0,406943.36,623.0,229.0,Opera,EMEA
126,EMEA:Channel Online,Safari 16.3,357084.38,4553.0,2994.0,Safari,EMEA
127,EMEA:Channel Online,Opera 95.0,252763.38,325.0,152.0,Opera,EMEA
128,EMEA:Channel Online,Safari 0.8.2,241166.1,1717.0,859.0,Safari,EMEA
129,EMEA:Channel Online,Mozilla Firefox 106.0,204184.28,608.0,91.0,Mozilla,EMEA
130,EMEA:Channel Online,Safari 16.4,157534.22,1586.0,1107.0,Safari,EMEA
131,EMEA:Channel Online,Mozilla Firefox 104.0,123282.26,47.0,14.0,Mozilla,EMEA
132,EMEA:Channel Online,Mozilla Firefox 90.0,111448.79,46.0,5.0,Mozilla,EMEA
133,EMEA:Channel Online,Microsoft Edge 84.0,99871.71,71.0,5.0,Microsoft,EMEA
134,EMEA:Channel Online,Google Chrome 102.0,98380.22,268.0,63.0,Google,EMEA
135,EMEA:Channel Online,Firefox 113.0,46420.37,39.0,19.0,Firefox,EMEA
136,EMEA:Channel Online,Safari 16.0,26874.41,407.0,368.0,Safari,EMEA
137,EMEA:Channel Online,Opera 98.0,25324.03,126.0,72.0,Opera,EMEA
138,EMEA:Channel Online,Microsoft Edge 94.0,22302.32,63.0,18.0,Microsoft,EMEA
139,EMEA:Channel Online,Microsoft Edge 106.0,16914.14,40.0,32.0,Microsoft,EMEA
140,EMEA:Channel Online,Mozilla Firefox 105.0,15465.74,133.0,51.0,Mozilla,EMEA
141,EMEA:Channel Online,Google Chrome 91.0,10515.2,63.0,20.0,Google,EMEA
142,EMEA:Channel Online,Google Chrome 105.0,8843.5,367.0,149.0,Google,EMEA
143,EMEA:Channel Online,Google Chrome 96.0,6767.55,93.0,32.0,Google,EMEA
144,EMEA:Channel Online,Google Chrome 103.0,5835.25,506.0,315.0,Google,EMEA
145,EMEA:Channel Online,Microsoft Edge 105.0,5274.6,277.0,44.0,Microsoft,EMEA
146,EMEA:Channel Online,Google Chrome 99.0,4158.03,924.0,460.0,Google,EMEA
147,EMEA:Channel Online,Mozilla Firefox 80.0,3837.04,58.0,5.0,Mozilla,EMEA
148,EMEA:Channel Online,Safari 15.6.1,3774.96,107.0,85.0,Safari,EMEA
149,EMEA:Channel Online,Google Chrome 95.0,2746.13,88.0,9.0,Google,EMEA
150,EMEA:Channel Online,Safari 16.5,2355.58,59.0,41.0,Safari,EMEA
151,EMEA:Channel Online,Safari 16.2,1222.1,1030.0,768.0,Safari,EMEA
152,EMEA:Channel Online,Mozilla Firefox 92.0,909.31,3.0,1.0,Mozilla,EMEA
153,EMEA:Channel Online,Google Chrome 87.0,176.88,258.0,22.0,Google,EMEA
154,EMEA:Channel Online,Samsung Browser 20.0,0.0,5431.0,5369.0,Samsung,EMEA
155,EMEA:Channel Online,Chrome Mobile 109.0,0.0,2266.0,2102.0,Chrome,EMEA
156,EMEA:Channel Online,Chrome 110.0,0.0,1121.0,1017.0,Chrome,EMEA
157,EMEA:Channel Online,Safari 16.1,0.0,1005.0,846.0,Safari,EMEA
158,EMEA:Channel Online,Safari 15.6,0.0,672.0,550.0,Safari,EMEA
159,EMEA:Channel Online,Opera 63.0,0.0,622.0,622.0,Opera,EMEA
160,EMEA:Channel Online,Safari,0.0,607.0,571.0,Safari,EMEA
161,EMEA:Channel Online,Samsung Browser 19.0,0.0,564.0,555.0,Samsung,EMEA
162,EMEA:Channel Online,Google Chrome 72.0,0.0,275.0,7.0,Google,EMEA
163,EMEA:Channel Online,Chrome Mobile 108.0,0.0,223.0,202.0,Chrome,EMEA
164,EMEA:Channel Online,Google Chrome 88.0,0.0,157.0,23.0,Google,EMEA
165,EMEA:Channel Online,Safari 15.5,0.0,152.0,127.0,Safari,EMEA
166,EMEA:Channel Online,Google Chrome 104.0,0.0,144.0,54.0,Google,EMEA
167,EMEA:Channel Online,Google Chrome 86.0,0.0,127.0,41.0,Google,EMEA
168,EMEA:Channel Online,Google Chrome 97.0,0.0,123.0,46.0,Google,EMEA
169,EMEA:Channel Online,Google Chrome 93.0,0.0,117.0,20.0,Google,EMEA
170,EMEA:Channel Online,Google Chrome 100.0,0.0,113.0,37.0,Google,EMEA
171,EMEA:Channel Online,Safari 14.1,0.0,109.0,98.0,Safari,EMEA
172,EMEA:Channel Online,Google Chrome 49.0,0.0,94.0,81.0,Google,EMEA
173,EMEA:Channel Online,Mozilla Firefox 94.0,0.0,93.0,4.0,Mozilla,EMEA
174,EMEA:Channel Online,Chrome Mobile 104.0,0.0,92.0,92.0,Chrome,EMEA
175,EMEA:Channel Online,Chrome Mobile 107.0,0.0,90.0,88.0,Chrome,EMEA
176,EMEA:Channel Online,Chrome Mobile 103.0,0.0,90.0,77.0,Chrome,EMEA
177,EMEA:Channel Online,Chrome Mobile 105.0,0.0,88.0,85.0,Chrome,EMEA
178,EMEA:Channel Online,Microsoft Internet Explorer 11,0.0,84.0,21.0,Microsoft,EMEA
179,EMEA:Channel Online,Safari 15.3,0.0,83.0,48.0,Safari,EMEA
180,EMEA:Channel Online,Safari 15.4,0.0,77.0,72.0,Safari,EMEA
181,EMEA:Channel Online,Safari 13.1,0.0,77.0,46.0,Safari,EMEA
182,EMEA:Channel Online,Microsoft Edge 92.0,0.0,74.0,57.0,Microsoft,EMEA
183,EMEA:Channel Online,Chrome Mobile 106.0,0.0,69.0,63.0,Chrome,EMEA
184,EMEA:Channel Online,Google Chrome 94.0,0.0,69.0,26.0,Google,EMEA
185,EMEA:Channel Online,Chrome Mobile 97.0,0.0,67.0,66.0,Chrome,EMEA
186,EMEA:Channel Online,Google Chrome 79.0,0.0,66.0,49.0,Google,EMEA
187,EMEA:Channel Online,Google Chrome 81.0,0.0,65.0,53.0,Google,EMEA
188,EMEA:Channel Online,Mozilla Firefox 107.0,0.0,64.0,44.0,Mozilla,EMEA
189,EMEA:Channel Online,Mozilla Firefox 103.0,0.0,61.0,15.0,Mozilla,EMEA
190,EMEA:Channel Online,Mozilla Firefox 56.0,0.0,58.0,3.0,Mozilla,EMEA
191,EMEA:Channel Online,Internet Explorer 11.0,0.0,52.0,26.0,Internet Explorer,EMEA
192,EMEA:Channel Online,Safari 14.0,0.0,51.0,46.0,Safari,EMEA
193,EMEA:Channel Online,Safari 15.2,0.0,51.0,44.0,Safari,EMEA
194,EMEA:Channel Online,Chrome Mobile 99.0,0.0,50.0,50.0,Chrome,EMEA
195,EMEA:Channel Online,Chrome Mobile 94.0,0.0,49.0,49.0,Chrome,EMEA
196,EMEA:Channel Online,Mozilla Firefox 78.0,0.0,46.0,18.0,Mozilla,EMEA
197,EMEA:Channel Online,Huawei Browser 13.0,0.0,45.0,44.0,Huawei,EMEA
198,EMEA:Channel Online,Mozilla Firefox 99.0,0.0,44.0,22.0,Mozilla,EMEA
199,EMEA:Channel Online,::other::,0.0,1889.0,0.0,other,EMEA
200,AMER:Channel Online,Chrome 111.0,113578155.4,279847.0,84149.0,Chrome,AMER
201,AMER:Channel Online,Chrome 112.0,112989182.4,199994.0,63280.0,Chrome,AMER
202,AMER:Channel Online,Google Chrome (unknown version),71373939.72,216896.0,73181.0,Google,AMER
203,AMER:Channel Online,Edge 112.0,69137857.37,103363.0,32311.0,Edge,AMER
204,AMER:Channel Online,Chrome 110.0,36723980.02,100393.0,45032.0,Chrome,AMER
205,AMER:Channel Online,Google Chrome 109.0,35918262.44,101657.0,40900.0,Google,AMER
206,AMER:Channel Online,Edge 111.0,31826053.23,99271.0,31823.0,Edge,AMER
207,AMER:Channel Online,Edge 110.0,15996929.38,52000.0,20262.0,Edge,AMER
208,AMER:Channel Online,Firefox 112.0,11982985.36,13006.0,4978.0,Firefox,AMER
209,AMER:Channel Online,Firefox 111.0,11139498.88,18363.0,6935.0,Firefox,AMER
210,AMER:Channel Online,Microsoft Edge 109.0,9388373.04,36540.0,15176.0,Microsoft,AMER
211,AMER:Channel Online,Firefox 110.0,6425407.32,10145.0,4268.0,Firefox,AMER
212,AMER:Channel Online,Mozilla Firefox (unknown version),6145381.75,8395.0,3698.0,Mozilla,AMER
213,AMER:Channel Online,Mozilla Firefox 109.0,4497116.71,9764.0,4291.0,Mozilla,AMER
214,AMER:Channel Online,Chrome 113.0,3631546.59,5882.0,3221.0,Chrome,AMER
215,AMER:Channel Online,Mozilla Firefox 108.0,3496828.5,520.0,197.0,Mozilla,AMER
216,AMER:Channel Online,Safari 16.3,2994331.47,7801.0,5415.0,Safari,AMER
217,AMER:Channel Online,Google Chrome 108.0,2142593.46,7281.0,2886.0,Google,AMER
218,AMER:Channel Online,Safari 16.4,665274.38,3214.0,1998.0,Safari,AMER
219,AMER:Channel Online,Mozilla Firefox 106.0,648894.48,238.0,101.0,Mozilla,AMER
220,AMER:Channel Online,Google Chrome 96.0,311657.34,846.0,338.0,Google,AMER
221,AMER:Channel Online,Safari 0.8.2,310898.53,3246.0,1700.0,Safari,AMER
222,AMER:Channel Online,Google Chrome 97.0,218577.38,441.0,234.0,Google,AMER
223,AMER:Channel Online,Mozilla Firefox 107.0,204573.82,149.0,92.0,Mozilla,AMER
224,AMER:Channel Online,Google Chrome 107.0,198793.58,1189.0,419.0,Google,AMER
225,AMER:Channel Online,Google Chrome 89.0,158310.43,275.0,60.0,Google,AMER
226,AMER:Channel Online,Opera 95.0,127723.57,383.0,201.0,Opera,AMER
227,AMER:Channel Online,Opera 97.0,121633.48,794.0,337.0,Opera,AMER
228,AMER:Channel Online,Microsoft Edge 108.0,94272.44,928.0,613.0,Microsoft,AMER
229,AMER:Channel Online,Google Chrome 80.0,93569.23,2185.0,2066.0,Google,AMER
230,AMER:Channel Online,Opera 96.0,92143.21,747.0,363.0,Opera,AMER
231,AMER:Channel Online,Google Chrome 101.0,91751.08,379.0,306.0,Google,AMER
232,AMER:Channel Online,Safari 15.3,89760.99,185.0,106.0,Safari,AMER
233,AMER:Channel Online,Google Chrome 92.0,89159.48,328.0,96.0,Google,AMER
234,AMER:Channel Online,Google Chrome 86.0,70507.9,922.0,640.0,Google,AMER
235,AMER:Channel Online,Safari 16.2,69963.03,1842.0,1417.0,Safari,AMER
236,AMER:Channel Online,Google Chrome 104.0,62663.18,687.0,336.0,Google,AMER
237,AMER:Channel Online,Google Chrome 85.0,59291.94,53.0,38.0,Google,AMER
238,AMER:Channel Online,Safari 13.1,58768.45,128.0,88.0,Safari,AMER
239,AMER:Channel Online,Mozilla Firefox 102.0,56866.06,1891.0,954.0,Mozilla,AMER
240,AMER:Channel Online,Mozilla Firefox 78.0,54817.22,29.0,28.0,Mozilla,AMER
241,AMER:Channel Online,Google Chrome 106.0,54336.67,1349.0,1124.0,Google,AMER
242,AMER:Channel Online,Google Chrome 95.0,46578.71,261.0,87.0,Google,AMER
243,AMER:Channel Online,Safari 15.4,37601.57,208.0,127.0,Safari,AMER
244,AMER:Channel Online,Google Chrome 100.0,37238.28,301.0,144.0,Google,AMER
245,AMER:Channel Online,Edge 113.0,35884.2,98.0,47.0,Edge,AMER
246,AMER:Channel Online,Google Chrome 99.0,22580.76,4834.0,3965.0,Google,AMER
247,AMER:Channel Online,Safari 15.6,21580.46,1382.0,1037.0,Safari,AMER
248,AMER:Channel Online,Chrome 110.0,21101.51,1705.0,1438.0,Chrome,AMER
249,AMER:Channel Online,Google Chrome 102.0,18599.61,752.0,547.0,Google,AMER
250,AMER:Channel Online,Safari 16.0,18402.21,675.0,603.0,Safari,AMER
251,AMER:Channel Online,Chrome Mobile 109.0,17330.97,3113.0,2652.0,Chrome,AMER
252,AMER:Channel Online,Google Chrome 105.0,16701.4,1698.0,1085.0,Google,AMER
253,AMER:Channel Online,Safari 15.1,16374.09,130.0,87.0,Safari,AMER
254,AMER:Channel Online,Safari 15.6.1,15721.86,244.0,155.0,Safari,AMER
255,AMER:Channel Online,Edge 114.0,14730.9,83.0,41.0,Edge,AMER
256,AMER:Channel Online,Microsoft Edge 107.0,13417.37,285.0,135.0,Microsoft,AMER
257,AMER:Channel Online,Safari 16.1,12179.3,1769.0,1458.0,Safari,AMER
258,AMER:Channel Online,Google Chrome 94.0,5806.94,122.0,81.0,Google,AMER
259,AMER:Channel Online,Mozilla Firefox 97.0,5507.26,28.0,8.0,Mozilla,AMER
260,AMER:Channel Online,Chrome Mobile 106.0,4469.0,150.0,123.0,Chrome,AMER
261,AMER:Channel Online,Safari 14.1,3993.74,216.0,174.0,Safari,AMER
262,AMER:Channel Online,Google Chrome 103.0,3848.01,854.0,384.0,Google,AMER
263,AMER:Channel Online,Microsoft Edge 92.0,3725.25,137.0,116.0,Microsoft,AMER
264,AMER:Channel Online,Edge 17.17134,3581.97,69.0,6.0,Edge,AMER
265,AMER:Channel Online,Samsung Browser 20.0,2807.38,2549.0,2406.0,Samsung,AMER
266,AMER:Channel Online,Chrome Mobile 94.0,2081.85,146.0,137.0,Chrome,AMER
267,AMER:Channel Online,Mozilla Firefox 60.0,2016.51,16.0,10.0,Mozilla,AMER
268,AMER:Channel Online,Google Chrome 91.0,1618.26,296.0,76.0,Google,AMER
269,AMER:Channel Online,Mozilla Firefox 100.0,1395.0,42.0,13.0,Mozilla,AMER
270,AMER:Channel Online,Mozilla Firefox 95.0,983.1,17.0,11.0,Mozilla,AMER
271,AMER:Channel Online,Mozilla Firefox 104.0,789.68,33.0,19.0,Mozilla,AMER
272,AMER:Channel Online,Safari 14.1.2,733.19,61.0,46.0,Safari,AMER
273,AMER:Channel Online,Google Chrome 98.0,411.99,259.0,207.0,Google,AMER
274,AMER:Channel Online,Mozilla Firefox 103.0,411.99,53.0,31.0,Mozilla,AMER
275,AMER:Channel Online,Microsoft Edge 105.0,201.73,115.0,49.0,Microsoft,AMER
276,AMER:Channel Online,Safari 16.5,16.79,73.0,55.0,Safari,AMER
277,AMER:Channel Online,Google Chrome 81.0,0.0,3005.0,2998.0,Google,AMER
278,AMER:Channel Online,Safari,0.0,1792.0,1728.0,Safari,AMER
279,AMER:Channel Online,Google Chrome 87.0,0.0,1080.0,255.0,Google,AMER
280,AMER:Channel Online,::unspecified::,0.0,680.0,680.0,unspecified,AMER
281,AMER:Channel Online,Samsung Browser 19.0,0.0,625.0,527.0,Samsung,AMER
282,AMER:Channel Online,Google Chrome 88.0,0.0,611.0,445.0,Google,AMER
283,AMER:Channel Online,Chrome Mobile 108.0,0.0,379.0,338.0,Chrome,AMER
284,AMER:Channel Online,Safari 15.5,0.0,325.0,240.0,Safari,AMER
285,AMER:Channel Online,Internet Explorer 11.0,0.0,296.0,172.0,Internet Explorer,AMER
286,AMER:Channel Online,Chrome Mobile 104.0,0.0,283.0,251.0,Chrome,AMER
287,AMER:Channel Online,Microsoft Edge 90.0,0.0,281.0,175.0,Microsoft,AMER
288,AMER:Channel Online,Chrome Mobile 107.0,0.0,280.0,248.0,Chrome,AMER
289,AMER:Channel Online,Google Chrome 79.0,0.0,274.0,267.0,Google,AMER
290,AMER:Channel Online,Safari 13.0,0.0,248.0,231.0,Safari,AMER
291,AMER:Channel Online,Chrome Mobile 105.0,0.0,236.0,228.0,Chrome,AMER
292,AMER:Channel Online,Chrome Mobile 75.0,0.0,227.0,227.0,Chrome,AMER
293,AMER:Channel Online,Safari (unknown version),0.0,207.0,201.0,Safari,AMER
294,AMER:Channel Online,Opera 63.0,0.0,199.0,199.0,Opera,AMER
295,AMER:Channel Online,Chrome Mobile 97.0,0.0,199.0,193.0,Chrome,AMER
296,AMER:Channel Online,Chrome Mobile 103.0,0.0,197.0,185.0,Chrome,AMER
297,AMER:Channel Online,Chrome Mobile 99.0,0.0,185.0,178.0,Chrome,AMER
298,AMER:Channel Online,Google Chrome 83.0,0.0,177.0,171.0,Google,AMER
299,AMER:Channel Online,::other::,0.0,7967.0,0.0,other,AMER
300,AMER:BSDR Online,Chrome 111.0,76037595.16,73330.0,29762.0,Chrome,AMER
