,Provider,ProviderSegment,0
269,Who2 by NetWise,Finance and Accounting Professionals,72
270,AdAdvisor Audiences by Neustar,Use Mobile Device: Apple iPhone,72
271,AdAdvisor Audiences by Neustar,Use Mobile Device: Apple iPad,72
272,AdAdvisor Audiences by Neustar,Use Mobile Device From Manufacturer: Apple,72
273,AdAdvisor Audiences by Neustar,Use Mobile Device From Apple with Carrier AT&T,72
274,Datonics,Owns a Retirement Plan,72
275,AdAdvisor Audiences by Neustar,Retired Or Took Early Retirement (Last 12M),72
276,Oracle Data Marketplace,Has IRA or Individual Retirement Account Balance,72
277,AdAdvisor Audiences by Neustar,Banking/Investments: Have Any Retirement And College Savings,72
278,Datonics,Apple Laptops,72
279,AdAdvisor Audiences by Neustar,"Life Insurance Value-$100,000-$199,999",72
280,Datonics,iPhone (Apple),72
281,AdAdvisor Audiences by Neustar,"Life Insurance Value-$20,000-$49,999",72
282,Oracle Data Marketplace,55-64,72
283,AdAdvisor Audiences by Neustar,"Life Insurance Value-$200,000-$499,999",72
284,Lotame,Large (1000-4999),71
285,LiveRamp Data Marketplace,Treasurer,71
286,LiveRamp Data Marketplace,Sourcing,71
287,Lotame,Extra-Large (5000+),71
288,Datonics,Football Fans,71
289,D&B,C-Suite,71
290,AdAdvisor Audiences by Neustar,NFL-Very Interested-Last 12M,70
291,Oracle Data Marketplace,Inactive Credit Card Users,70
292,Oracle Data Marketplace,National Hockey League (NHL),70
293,Zipline (i-Behavior),Mutual of Omaha Life Insurance,70
294,AdAdvisor Audiences by Neustar,College Football-Very Interested-Last 12M,70
295,Zipline (i-Behavior),MetLife Life Insurance,70
296,LiveRamp Data Marketplace,Police,70
297,AdAdvisor Audiences by Neustar,Credit Card Type Have-Any Visa,70
298,AdAdvisor Audiences by Neustar,Credit Card Type Have-Visa Standard,70
299,AdAdvisor Audiences by Neustar,Head of HH Education: Bachelor's Degree,70
300,AdAdvisor Audiences by Neustar,Credit Card Use Last 30 Days-Any Visa,70
301,AdAdvisor Audiences by Neustar,Credit Card Use Most-Any Visa,70
302,Datonics,Credit Card Users,70
303,AdAdvisor Audiences by Neustar,Attend College Football Regular Season,70
304,Oracle Data Marketplace,College Football (NCAA),70
305,D&B,General Finance,70
306,D&B,Decision Makers (DM),70
307,AdAdvisor Audiences by Neustar,Attend NFL Football Regular Season,70
308,Zipline (i-Behavior),Sports - Premier League Football,69
309,Zipline (i-Behavior),Sports - NFL,69
310,LiveRamp Data Marketplace,Entertainment Decision Makers,68
311,LiveRamp Data Marketplace,Analyst,68
312,Oracle Data Marketplace,Frequent Domestic Vacation,68
313,Oracle Data Marketplace,Domestic Travel: High Spenders,68
314,AdAdvisor Audiences by Neustar,Consider My Diet to Be Very Healthy,68
315,Oracle Data Marketplace,Has Roth IRA or Roth Individual Retirement,68
316,AdAdvisor Audiences by Neustar,I'll Try Any New Diet,68
317,AdAdvisor Audiences by Neustar,Incorporate Probiotics Into Diet Regularly,68
318,AdAdvisor Audiences by Neustar,"Life Insurance Value-$50,000-$99,999",68
319,Datonics,Actively Try New Health and Diet Trends,68
320,LiveRamp Data Marketplace,Audit,68
321,AdAdvisor Audiences by Neustar,Domestic Travel For Personal Last 12M: Any Marriott,68
322,AdAdvisor Audiences by Neustar,Prefer Driving Luxury Vehicle,68
323,AdAdvisor Audiences by Neustar,I Try To Eat Healthy Food/Balanced Diet,68
324,AdAdvisor Audiences by Neustar,Domestic Travel-Any Trip-Airline Last 12M: Southwest,68
325,Datonics,Luxury,68
326,Oracle Data Marketplace,Bed Bath & Beyond,68
327,LiveRamp Data Marketplace,Corporate,68
328,AdAdvisor Audiences by Neustar,Watching Diet-For Food Allergy,68
329,Datonics,High Frequency Domestic Vacationer,68
330,Datonics,On a diet,68
331,Acxiom,College,68
332,Experian Standard,Invest: Retirement Plan,67
333,Zipline (i-Behavior),Luxury Automobiles,67
334,Oracle Data Marketplace,Attends Big Ten Football Game (Scarborough),67
335,Zipline (i-Behavior),Luxury Collection,67
336,D&B,Support,67
337,Experian Standard,Life Insurance Policy Holders,67
338,D&B,B2B Company Size > Large: 501 - 1000 Employees,66
339,D&B,B2B Company Size > Large: More Than 2000 Employees,66
340,D&B,B2B Company Size > Large: 1001 - 2000 Employees,66
341,Zipline (i-Behavior),Diabetes-Diet/Exercise Treatment,66
342,Zipline (i-Behavior),Sports - NHL,66
343,Datonics,Plays Hockey,66
344,Oracle Data Marketplace,Manufacturing,66
345,Experian Standard,Football (FLA / Fair Lending Friendly),66
346,Datonics,Hockey Fans,66
347,Oracle Data Marketplace,Attends NHL Game (Scarborough),66
348,D&B,CFO (Chief Financial Officer),66
349,Oracle Data Marketplace,Comedy Central,66
350,AdAdvisor Audiences by Neustar,NHL-Very Interested-Last 12M,66
351,Zipline (i-Behavior),Weight Loss,66
352,Zipline (i-Behavior),High Cholesterol-Diet/Exercise,66
353,Zipline (i-Behavior),Diet Behaviors,66
354,Oracle Data Marketplace,Lowe's,66
355,AdAdvisor Audiences by Neustar,Attend NHL Hockey Regular Season,66
356,Oracle Data Marketplace,Fitness & Exercise,65
357,D&B,Finance,65
358,Experian Standard,Apple Ipod/Iphone Owner Model,65
359,Oracle Data Marketplace,Advertising and Market Research,65
360,Datonics,College Degree,65
361,Oracle Data Marketplace,Plans to Buy Life Insurance,65
362,Bombora,Sports Fans > Football,65
363,Experian Standard,Apple Mac Purchaser Model,65
364,Oracle Data Marketplace,Variable-rate Mortgage,64
365,Datonics,"Home Equity of $10,000-$24,999",64
366,Oracle Data Marketplace,US Domestic Flyers,64
367,Experian Standard,On a Diet,64
368,Oracle Data Marketplace,Fixed-rate Mortgage,64
369,D&B,Senior Management,64
370,Oracle Data Marketplace,Sales and Marketing Decision Makers,64
371,Datonics,"Home Equity of $25,000-$39,999",64
372,Bombora,Government,64
373,Experian Standard,"Loyal Rewards Enthusiast, Low Credit Card Balance",64
374,Datonics,"Home Equity of $40,000-$59,999",64
375,Experian Standard,"Complacent Card User, Low Credit Card Balance",64
376,Oracle Data Marketplace,Partners,64
377,Experian Standard,"Uninterested, Average Credit Card Balance",64
378,Oracle Data Marketplace,Last 12 Months,64
379,Experian Standard,"Reluctant User, High Credit Card Balance",64
380,Experian Standard,"Credit Seeking Card Switcher, High Credit Card Balance",64
381,Datonics,First Time Home Purchaser,64
382,Oracle Data Marketplace,High School,64
383,AdAdvisor Audiences by Neustar,HH Buys Pet Supplies at Petco,63
384,Oracle Data Marketplace,Attends Big Ten Basketball Game (Scarborough),63
385,D&B,C-Level/C-Suite,63
386,D&B,Finance Management,63
387,Oracle Data Marketplace,Attends NBA Game (Scarborough),63
388,Oracle Data Marketplace,Conducts Internet Banking From Smartphone,63
389,AdAdvisor Audiences by Neustar,Uses Weather Apps on Smartphone,63
390,AdAdvisor Audiences by Neustar,Uses News Apps on Smartphone,63
391,AdAdvisor Audiences by Neustar,Uses Maps/ Navigation Apps on Smartphone,63
392,AdAdvisor Audiences by Neustar,Use Smartphones For Internet Activities,63
393,Datonics,Basketball Fans,63
394,AdAdvisor Audiences by Neustar,HH Buys Pet Supplies at Petsmart,63
395,LiveRamp Data Marketplace,Government Decision Makers,63
396,Oracle Data Marketplace,Pays Bills via Smartphone,63
397,Experian Standard,Non Luxury Lease,63
398,Experian Standard,Luxury Compact,63
399,Experian Standard,Luxury CUV,63
400,Oracle Data Marketplace,Remote Deposits via Smartphone,63
401,Oracle Data Marketplace,Attends NFL Game (Scarborough),62
402,Experian Standard,Bachelor Degree,62
403,AdAdvisor Audiences by Neustar,NBA-Very Interested-Last 12M,62
404,Acxiom,Mini,62
405,Oracle Data Marketplace,Franchise Owners,62
406,Datonics,"Passenger Cars (Sedan, Wagon, Hatchback, Compact)",62
407,D&B,CTO (Chief Technology Officer),62
408,AdAdvisor Audiences by Neustar,Attend NBA Basketball Regular Season,62
409,AdAdvisor Audiences by Neustar,College Basketball-Very Interested-Last 12M,62
410,Oracle Data Marketplace,On a Diet,61
411,Experian Standard,Plays Hockey,61
412,Zipline (i-Behavior),Dietician,61
413,Zipline (i-Behavior),Sports - NBA,61
414,Oracle Data Marketplace,Weight Loss and Supplements,61
415,Oracle Data Marketplace,Reviews Account Balance via Smartphone,61
416,Oracle Data Marketplace,Luxury Compact Car,61
417,AdAdvisor Audiences by Neustar,Consumed Alcoholic Drinks in the Last Month,60
418,Bombora,Sports Fans > Hockey,60
419,LiveRamp Data Marketplace,Employees 100000+,60
420,LiveRamp Data Marketplace,Employees 10000-50000,60
421,Oracle Data Marketplace,Luxury Car,60
422,AdAdvisor Audiences by Neustar,Drink Beer - No Alcohol/Low Alcohol,60
423,LiveRamp Data Marketplace,Employees 1000-10000,60
424,Experian Standard,Pro Basketball (FLA / Fair Lending Friendly),60
425,AdAdvisor Audiences by Neustar,Drink Flavored Alcoholic Beverages,60
426,Datonics,Wine and Winery,60
427,Oracle Data Marketplace,NHL Enthusiast,60
428,AdAdvisor Audiences by Neustar,Flav Alcoholic Bev-Mike's Hard Lemonade,60
429,Datonics,College & Admissions,60
430,AdAdvisor Audiences by Neustar,Flav Alcoholic Bev-Any Mike's Hard,60
431,Acxiom - International,SUV,60
432,Datonics,Retail Electronics and Gadgets Buyers,59
433,Who2 by NetWise,Behaviors - Web & Email - Consumer Response Categories - Electronics/Gadgets,59
434,AdAdvisor Audiences by Neustar,Love to Buy New Gadgets and Appliances,59
435,AdAdvisor Audiences by Neustar,Shopped Hobby Lobby Stores Last 3M,59
436,LiveRamp Data Marketplace,Business Development,59
437,Datonics,Electronics and Gadgets Purchase - $,59
438,Experian Standard,Highly unlikely to refinance (FLA / Fair Lending Friendly),59
439,AdAdvisor Audiences by Neustar,"Shop Bed, Bath & Beyond Last 3M",59
440,Experian Standard,"Secure, Active Refinancer, Above Average Mortgage Balance",59
441,AdAdvisor Audiences by Neustar,Shopped Michaels Last 3M,59
442,Datonics,Electronics and Gadgets,59
443,Experian Standard,"Advice Seeking Refinancer, Slightly Above Average Mortgage Balance",59
444,Oracle Data Marketplace,Attends ACC Basketball Game (Scarborough),59
445,Oracle Data Marketplace,Mattress Firm,59
446,Oracle Data Marketplace,La-Z-Boy,59
447,Oracle Data Marketplace,Ferguson Showrooms,59
448,Oracle Data Marketplace,Pier 1 Imports,59
449,AdAdvisor Audiences by Neustar,Shop Home Goods Last 3M,59
450,AdAdvisor Audiences by Neustar,Shop Any Home Furnishings Store 3+ Times Last 4Wk,59
451,AdAdvisor Audiences by Neustar,I Like To Have A Lot Of Gadgets,59
452,Datonics,Online Electronics and Gadgets Buyers,59
453,Experian Standard,Q62 - Enjoying Retirement,58
454,Acxiom - International,Real Estate and Rental and Leasing,58
455,Webbula,Life Insurance,58
456,Oracle Data Marketplace,College Life,58
457,Datonics,Plays Soccer,58
458,Oracle Data Marketplace,U.S. Soccer (MLS),58
459,Oracle Data Marketplace,Plays Soccer (Scarborough),58
460,Datonics,Soccer Fans,58
461,Bombora,Sports Fans > Basketball,58
462,Oracle Data Marketplace,Attends MLS Match (Scarborough),58
463,Oracle Data Marketplace,Bachelor,58
464,Oracle Data Marketplace,Ages 55-64,57
465,AdAdvisor Audiences by Neustar,Have Health Insurance w/UnitedHealth care,57
466,Oracle Data Marketplace,Software Designers & Programmers,57
467,D&B,Information Technology,57
468,Oracle Data Marketplace,Chief Information Officers (CIO),57
469,D&B,Software Engineering,57
470,Oracle Data Marketplace,Compact & Subcompact Cars,57
471,Oracle Data Marketplace,Plan to Get 2nd Mortgage or Equity Loan,57
472,Oracle Data Marketplace,Sub-compact Car,57
473,AdAdvisor Audiences by Neustar,Have Health Insurance w/Aetna,57
474,AdAdvisor Audiences by Neustar,Have Health Insurance w/Blue Cross/Blue Shield,57
475,AdAdvisor Audiences by Neustar,Have Health Saving Account: Flexible Spending Account,57
476,D&B,Web Development & Management,57
477,AdAdvisor Audiences by Neustar,Domestic Travel-Last Trip-Airline Last 12M: Southwest,57
478,AdAdvisor Audiences by Neustar,Use Mobile Device From Apple with Carrier Sprint,57
479,AdAdvisor Audiences by Neustar,Domestic Travel-Last Trip-Airline Last 12M: Delta,57
480,Zipline (i-Behavior),All Compact and Subcompact Cars,57
481,AdAdvisor Audiences by Neustar,Domestic Travel-Any Trip-Airline Last 12M: Delta,57
482,Who2 by NetWise,Marketing & Communications - Advertising,57
483,Datonics,Mini,56
484,D&B,Information Security,56
485,Oracle Data Marketplace,Chief Executive Officers (CEO),56
486,Datonics,High Frequency Cruise Enthusiast,56
487,Datonics,Home Improvement & Construction,56
488,Zipline (i-Behavior),Private Insurance-Direct,56
489,AdAdvisor Audiences by Neustar,SUV Matches My Active Lifestyle,56
490,Bombora,IT Professional,56
491,Experian Standard,Alcohol and Wine: $331-$726,56
492,Experian Standard,Alcohol and Wine: $0-$330,56
493,AdAdvisor Audiences by Neustar,Sport Utility Vehicle (Suv),56
494,Experian Standard,Plays Soccer,56
495,Datonics,"SUV, Minivan, Van, Crossover",56
496,Experian Standard,"Alcohol and Wine: $727-$99,999",56
497,Zipline (i-Behavior),No Physician,56
498,Zipline (i-Behavior),Subsidy Qualification-unknown,56
499,D&B,Network Administration & Engineering,56
500,D&B,COO (Chief Operating Officer),56
501,D&B,Systems Administration & Engineering,56
502,D&B,Data Management,56
503,D&B,Data Scientist / Analyst,56
504,D&B,Database Administration & Design,56
505,D&B,Operations Management,56
506,AdAdvisor Audiences by Neustar,Credit Card Type Have-Any Mastercard,56
507,Who2 by NetWise,"Health,Beauty & Personal Care",55
508,Oracle Data Marketplace,Hybrid,55
509,Zipline (i-Behavior),MINI Other Model,55
510,LiveRamp Data Marketplace,Creative,55
511,Zipline (i-Behavior),MINI Cooper,55
512,D&B,New York Life Insurance,55
513,Zipline (i-Behavior),Health & Beauty & Personal Care,55
514,LiveRamp Data Marketplace,Account Management,55
515,Webbula,XLarge (5001+ Employees),55
516,Zipline (i-Behavior),MINI,55
517,Oracle Data Marketplace,70% - 80%,55
518,Zipline (i-Behavior),Mini,55
519,Zipline (i-Behavior),Mini-Van,55
520,Zipline (i-Behavior),SUV-4dr,55
521,Oracle Data Marketplace,Own Life Insurance,55
522,D&B,B2B Industry > Finance and Insurance > Credit Intermediation,55
523,AdAdvisor Audiences by Neustar,Owner Any Mini,55
524,Bombora,Marketing Decision Maker,55
525,D&B,Mobile Developer,55
526,Oracle Data Marketplace,Fine Dining,55
527,Zipline (i-Behavior),Other SUV,55
528,Zipline (i-Behavior),SUV-2dr,55
529,Experian Standard,"$1,000-$2,499",54
530,Bombora,Food and Drink > Wine,54
531,Oracle Data Marketplace,Web Professionals,54
532,D&B,Advertising,54
533,Experian Standard,$1-$199,54
534,Oracle Data Marketplace,Travel Insurance,54
535,AdAdvisor Audiences by Neustar,"Auto Insurance Value: $100,000-$199,999",54
536,Acxiom - International,Urban Compact,54
537,Zipline (i-Behavior),Geico Auto Insurance,54
538,Experian Standard,$100-$499,54
