Browser,Visits,Unique Visitors,Revenue,Revenue / Visits,Total Orders,Occurrences
Chrome Mobile 105.0,263701,198781,209062.61,0.792801734,287,855041
Microsoft Edge 103.0,26292,17869,192143.27,7.308050738,140,392177
Mozilla Firefox 78.0,22849,14286,186218.66,8.149969802,176,268585
Edge 114.0,14277,9165,180315.1,12.62976115,102,147616
Microsoft Internet Explorer 11,207876,126816,170291.44,0.819197214,38,554713
Chrome Mobile 87.0,300572,237932,168786.88,0.56155224,160,720300
Chrome Mobile 102.0,168574,130288,165176.88,0.979847901,218,610806
Chrome Mobile 99.0,234455,176027,161303.7,0.687994285,235,698137
Chrome Mobile 96.0,161143,113106,157829.79,0.979439318,254,551850
Mobile Safari 12.0,13569,10559,153928.08,11.34409905,185,59092
Mozilla Firefox 98.0,7250,4835,147171.63,20.29953517,63,80234
Amazon Silk 108.2,31269,20345,138000.85,4.413343887,235,180791
Microsoft Edge 84.0,51660,43798,135385.05,2.620693961,29,1130741
Safari 12.1,139442,93764,131647.24,0.944100343,184,517113
Mozilla Firefox 101.0,13663,10605,127713.7,9.34741272,80,115167
Microsoft Edge 98.0,10486,6827,123243.92,11.75318711,43,141496
Chrome 114.0,11357,6756,123151.46,10.84366118,114,118672
Mozilla Firefox 90.0,3958,2368,122109.2,30.851238,24,39242
Google Chrome 77.0,54626,52767,121115.76,2.217181562,27,184693
Chrome Mobile 100.0,97659,73531,120461.66,1.233492663,163,316178
Microsoft Edge 90.0,75423,61612,109958.2,1.457886851,34,1637604
Microsoft Edge 88.0,3880,3109,109733.6,28.28185567,15,73679
Chrome Mobile 97.0,218472,162487,104453.56,0.478109598,120,892182
Edge 13.10586,4342,3639,102694.92,23.65152464,5,46271
Mozilla Firefox 103.0,21146,16859,101248.84,4.788084744,97,175817
Mozilla Firefox 99.0,15437,12626,101156.14,6.552836691,56,108471
VivoBrowser 14.2,2222,1617,100613.05,45.28040054,2,17598
Microsoft Edge 97.0,8347,5477,96722.37,11.5876806,56,111989
MQQ Browser 13.7,8848,5914,95037.69,10.74114941,18,78815
Amazon Silk 108.1,17681,11950,89726.65,5.074749731,130,103129
Firefox 110.2,16634,11389,85256.32,5.125425033,100,92065
Mozilla Firefox 96.0,5991,3776,85239.44,14.22791521,45,65002
Microsoft Edge 100.0,109888,94754,84406.05,0.768109803,68,2342887
Safari 13.1.2,12390,8832,83077.79,6.705229217,100,99412
Google Chrome 83.0,31238,25816,80296.12,2.570462898,60,240882
Amazon Silk 110.2,15066,10048,76371.37,5.069120536,113,87938
Avast Secure Browser,7150,4662,76200.94,10.65747413,122,79964
MIUI Browser 17.5,14694,8617,73577.18,5.007294134,10,109669
Chrome Mobile 95.0,146519,108805,73442.76,0.501250759,119,493049
VivoBrowser 13.5,2396,1794,72677.39,30.3328005,6,16978
Mozilla Firefox 94.0,7042,5114,71834.03,10.20079949,27,70948
Firefox 112.2,15907,10920,71253.45,4.479377004,62,91289
Firefox 111.2,17719,12167,69841.8,3.941633275,78,99187
Chrome Mobile 101.0,155861,109355,67468.83,0.432878206,121,468369
Chrome Mobile 98.0,73940,55745,64972.94,0.878725183,97,237788
Chrome Mobile 91.0,137903,107909,64613.84,0.468545572,77,375659
Firefox 110.1,10987,7512,62812.96,5.717025576,58,60818
Chrome Mobile 94.0,222364,169996,58447.91,0.262847898,91,564680
Internet Explorer 11.0,364745,212310,57978.87,0.158957272,24,917004
Safari 14.1.1,6181,4593,57264.68,9.264630319,62,39892
Mozilla Firefox 97.0,6171,4149,52620.32,8.527032896,26,63000
Opera Mobile 73.3,22844,14142,51889.38,2.271466468,74,126349
QQ Browser 11.0,999,452,51345.88,51.39727728,6,17850
Mozilla Firefox 88.0,28065,24944,49915.52,1.778568324,43,113194
Mozilla Firefox 52.0,45932,30849,49690.74,1.081832709,40,324313
Samsung Browser 18.0,56406,36557,48885.27,0.866667908,89,154354
Google Chrome 79.0,81212,72364,48604.23,0.598485815,24,432158
Microsoft Edge 94.0,21930,20263,47544.68,2.168020064,31,94529
Chrome Mobile 75.0,54162,53062,45522.54,0.840488534,5,80920
MIUI Browser 13.22,59348,31510,44860.7,0.755892364,122,189153
Opera 94.0,5213,3327,44099.42,8.45950892,43,49613
Opera Touch 3.5,11410,7070,42919.56,3.761574058,57,67900
Chrome Mobile 92.0,103176,72091,42811.7,0.414938552,90,366426
Microsoft Edge 95.0,5511,3975,42678.89,7.744309563,30,78193
Opera Mobile 73.2,23929,15120,42517.73,1.776828534,55,129367
Safari 13.0,77216,69051,41713.72,0.540221198,46,178873
QQ Browser 11.4,1890,968,41322.13,21.86356085,4,33491
Google Chrome 73.0,7714,6067,41230.02,5.344830179,4,80499
Samsung Browser 20.1,8695,3566,40779.9,4.690040253,18,78385
Ecosia 101.0,7798,4160,40640.57,5.211665812,57,47262
Safari 14.0.3,7117,5550,39854,5.59983139,54,43075
Chrome 111,45482,43672,39778.25,0.874593246,36,107233
MIUI Browser 13.25,65817,36120,39216.03,0.595834359,103,190687
Microsoft Edge 96.0,16526,14290,38724.15,2.343225826,24,186399
Chrome Mobile 80.0,120361,97634,36920.92,0.306751523,48,297198
Opera GX 1.9,26348,15639,36798.36,1.396628207,97,141808
Sleipnir 6.4,1120,411,35965.58,32.112125,29,15356
VivoBrowser 14.5,1773,1320,35861.22,20.22629442,1,15200
Microsoft Edge 89.0,55816,47232,35677.08,0.639190913,17,1264009
HeyTap Browser 40.8,17116,11981,35302.98,2.062571863,9,121191
Chrome Mobile 90.0,108833,81326,34437.87,0.316428565,71,281835
Microsoft Edge 18,281469,275712,33559.17,0.119228654,21,545473
Chrome 99.111,3851,1778,33293.82,8.64549987,18,36094
Google Chrome 76.0,16019,12532,32816.4,2.048592297,15,136778
Microsoft Edge 91.0,5462,3944,31073.69,5.689068107,17,83904
Firefox 111.1,9402,6581,30770.55,3.272766433,42,53638
Chrome Mobile 88.0,72720,57413,30347.72,0.417322882,45,243269
Chrome Mobile 85.0,34796,26214,29390.28,0.844645362,53,90525
Opera Mobile 74.1,26134,16449,27835.5,1.065106757,39,137161
Chrome Mobile 93.0,55049,42558,27671.19,0.502664717,52,149793
Samsung Browser 17.0,55079,34652,27329.05,0.496179125,40,138967
Mozilla Firefox 43.0,2657,2486,26820.28,10.09419646,3,12772
Whale 1.0,38656,30173,26271.38,0.679619723,27,140254
Iron,4444,1482,26122.63,5.878179568,25,35972
Chrome Mobile 81.0,78141,57969,25585.83,0.327431566,53,247688
Microsoft Edge 85.0,5017,3828,24641.24,4.911548734,24,84879
Chrome Mobile 111.0,5382,3733,24274.1,4.51023783,23,30342
Sleipnir 4.7,1655,634,23971.28,14.4841571,23,18937
MIUI Browser 13.24,15950,9142,23243.27,1.457258307,58,56659
Mozilla Firefox 82.0,1913,1355,23049.43,12.04883952,11,22549
MQQ Browser 13.6,11074,7492,22728.99,2.052464331,23,105095
Amazon Silk 110.4,8107,5848,22480.05,2.772918466,37,44440
Safari 13.1.3,1602,1156,22244.04,13.88516854,21,13012
Chrome Mobile 43.0,2703,2202,21910.12,8.105852756,1,7638
Mozilla Firefox 86.0,2188,1587,21572.89,9.85963894,13,26346
Mozilla Firefox 89.0,24741,23228,21483.91,0.868352532,24,79985
Safari 11,127748,114088,21124.76,0.165362745,31,292788
Chrome 99.108,58,13,21071.27,363.2977586,7,788
UC Browser 13.4,19572,13138,21061.15,1.076085735,32,97511
Mozilla Firefox 79.0,1920,1589,20479.42,10.66636458,4,17181
MQQ Browser 13.5,3571,2551,19339.76,5.415782694,12,34440
Mozilla Firefox 92.0,20681,19467,19296.73,0.933065616,12,61057
Chrome Mobile 77.0,13050,10130,19222.23,1.472967816,26,37323
Firefox 110,26161,26002,18956.49,0.724608769,18,54397
Huawei Browser 12.0,2605,1861,18546.16,7.119447217,1,13618
Chrome Mobile 110,1997,1205,18324.01,9.175768653,16,15702
Firefox 108.1,2075,1415,18299.32,8.818949398,13,11080
Google Chrome 72.0,88416,26790,17999.73,0.203580008,8,4360036
Opera 47.0,113,87,17994.44,159.2428319,1,634
Edge 112,11917,11558,17580.29,1.475227826,9,19971
Microsoft Edge 83.0,5233,4393,17232.78,3.29309765,11,69785
Chrome Mobile 89.0,59005,47682,16877.34,0.28603237,31,140189
Safari 14.0.2,1758,1286,16757.01,9.531860068,20,13073
Google Chrome 74.0,22432,17696,16084.36,0.717027461,6,227545
Mozilla Firefox 87.0,20372,19436,15510.68,0.761372472,8,45239
Mozilla Firefox 80.0,2288,1719,15127.54,6.611687063,6,21148
Mozilla Firefox 93.0,4671,3595,14737.17,3.155035324,16,36413
Chrome Mobile 83.0,144044,113606,14565.05,0.101115284,33,414731
Mozilla Firefox 85.0,2597,1840,14482.61,5.576669234,10,27870
Opera 86.0,912,674,14072.95,15.43086623,5,10780
Opera Mobile 74.0,12795,8241,14013.24,1.095212192,49,70557
Safari 14.0.1,1665,1284,13982.89,8.398132132,13,11329
MIUI Browser 13.23,16631,9545,13875.95,0.834342493,31,55045
Openwave 99.4,422,390,13631.59,32.30234597,9,5546
Google Chrome 49.0,21215,14754,13267.68,0.625391468,15,163164
Safari 12.1.2,2525,1903,13043.68,5.165813861,13,21627
Chrome 99.110,4227,1859,12793.92,3.026713982,15,39068
Microsoft Edge 93.0,3361,2398,12481.87,3.713736983,14,52673
MIUI Browser 17.4,31200,17757,12447.75,0.398966346,12,215408
Chrome 110,4966,4076,12331.66,2.483217882,15,29671
Openwave 100.4,10208,10113,12265.26,1.201534091,10,17872
HeyTap Browser 45.8,10194,9255,12021.8,1.17930155,2,21514
Mobile Safari 11.0,19906,18225,12019.36,0.603805888,11,74581
Chrome 112,9139,7631,11873.58,1.299220921,20,44763
Mozilla Firefox 81.0,2554,1944,11810.88,4.624463587,9,24911
Amazon Silk 110.6,4539,3540,11745,2.587574356,17,22584
Google Chrome 51.0,1304,899,11214.64,8.600184049,1,13042
None,234644,222219,11143.53,0.047491221,6,305441
Amazon Silk 110.7,5375,4144,11108.82,2.066757209,24,25832
Sleipnir 3.7,2583,1132,11066.47,4.284347658,12,16988
Google Chrome 52.0,956,792,10929,11.43200837,1,20075
Firefox 111,48081,47920,10577.96,0.220002912,24,86344
MIUI Browser 13.27,34796,20090,10524.02,0.302449132,20,97613
Openwave 97.4,478,448,10463.73,21.89064854,12,7583
MIUI Browser 13.26,3374,2105,10405.32,3.083971547,18,9778
Samsung Browser 16.0,26770,18881,10158.32,0.379466567,28,69173
Openwave 94.4,529,472,10046.84,18.99213611,12,6841
MQQ Browser 13.8,5608,3879,9836.78,1.754062054,3,54106
Samsung Browser 15.0,13585,9050,9624.73,0.708482149,12,31162
Firefox 112,2618,2528,9534.82,3.642024446,18,16144
Microsoft Edge 12,4028,3513,9499.81,2.358443396,1,45367
MIUI Browser 13.14,19532,10263,9425.5,0.482567069,24,48603
Safari 13.1.1,1148,847,9054.58,7.887264808,6,7761
Mozilla Firefox 56.0,4596,2980,8798.08,1.914290688,13,48598
Openwave 92.4,459,441,8745.21,19.0527451,12,5616
Mozilla Firefox 74.0,714,567,8624.99,12.07981793,2,7788
HeyTap Browser 45.9,47455,42122,8586.34,0.180936466,9,89816
Firefox 107.2,500,349,8496.16,16.99232,8,2265
MIUI Browser 13.21,2245,1151,8450.51,3.764146993,4,8078
Samsung Browser 16.2,20182,14117,7992.39,0.396015757,15,45669
Chrome Mobile 79.0,52471,42729,7268.38,0.13852185,14,128079
Openwave 96.4,483,457,7233.32,14.97581781,10,6047
Openwave 95.4,468,440,7166.55,15.31314103,10,6561
Chrome Mobile 84.0,16087,11536,7150.07,0.44446261,18,50052
Chrome Mobile,9845,8994,7145.72,0.725822245,10,25247
Edge 18.18362,15938,13545,7061.43,0.443056218,9,108534
Chrome Mobile 78.0,27940,17559,7059.95,0.252682534,8,109276
Samsung Browser 14.2,12953,9066,6959.47,0.537286343,10,27146
Safari 13.0.3,1624,1040,6955.38,4.282869458,9,15648
Safari 16.299999,1444,783,6929.17,4.798594183,6,10040
Amazon Silk 81.2,1018,624,6807.66,6.687288802,9,5350
Safari 15.7,2731,1937,6675.01,2.44416331,12,14537
Opera Mobile 74.3,7416,5052,6531.93,0.880788835,19,40593
Edge 18.17763,14284,12194,6351.46,0.444655559,5,92385
Mozilla Firefox 72.0,7641,6592,6229.99,0.815336998,11,84426
Mozilla Firefox 84.0,3438,2310,6187,1.799592787,9,38095
Google Chrome 70.0,10751,8586,6120.77,0.569320993,2,127999
Openwave 93.4,485,454,6114.2,12.60659794,9,7111
Edge 110,9372,8802,6085.78,0.649357661,11,21520
Edge 111,10282,9760,6061.34,0.589509823,7,20642
UC Browser 11.6,1077,832,6053.88,5.621058496,6,4026
Openwave 90.4,490,454,5827.2,11.8922449,6,6491
Safari 10.0,7681,6563,5818.42,0.757508137,11,51172
Mozilla Firefox 33.0,697,445,5782.96,8.296929699,5,6786
Mobile Safari 11.1,4569,3843,5756.89,1.259989057,6,26315
Openwave 91.4,466,437,5625.14,12.07111588,6,6282
Mozilla Firefox 75.0,143985,1760,5578.41,0.038742994,5,14341214
Opera Touch 2.9,4181,2328,5399.65,1.291473332,13,22326
Opera Mobile 74.2,6363,4481,5386.1,0.84647179,11,31106
Samsung Browser 11.0,29632,17100,5342.77,0.180304063,13,60310
Edge 99.111,1454,704,5218.56,3.589105915,3,17714
Google Chrome 75.0,11913,9047,5212.94,0.437584152,4,138641
Samsung Browser 13.2,18355,11154,4968.79,0.270704985,7,43259
MIUI Browser 12.22,3722,2385,4957.56,1.331961311,9,14076
Google Chrome 65.0,18772,17222,4865.78,0.259204134,6,78660
Chrome Mobile 109,2701,2250,4794.35,1.775027767,6,14253
Microsoft Internet Explorer 9,305,302,4793.7,15.71704918,1,5727
Microsoft Edge 17,4703,3961,4737.54,1.007344248,3,34054
Firefox 116.0,42,40,4528.66,107.8252381,2,527
Chrome 99.112,1763,996,4412.72,2.502960862,5,16731
Aloha Browser 4.6,773,589,4272.78,5.527529107,4,4900
Mozilla Firefox 83.0,2352,1644,4264.75,1.813244048,5,28722
Edge 17.17134,9324,7705,4236.95,0.454413342,6,62756
Chrome Mobile 76.0,11991,9588,4138.12,0.34510216,6,43932
Safari 11.1.2,1482,1156,4049.81,2.732665317,5,15539
t-online Browser 7.112,145,101,4024.53,27.75537931,2,2093
Opera GX 2.0,2093,1381,3905.69,1.866072623,3,10615
Huawei Browser 12.1,20690,15583,3867.94,0.186947318,8,88563
t-online Browser 7.111,235,162,3692.3,15.71191489,4,2801
Other,2788,2014,3685.87,1.322048063,7,10164
t-online Browser 7.110,504,329,3568.5,7.080357143,3,5547
Firefox 40.2,147,114,3527.33,23.99544218,3,658
Firefox 105.1,252,187,3526.99,13.99599206,4,1208
Mozilla Firefox 76.0,1214,997,3524.62,2.903311367,5,14857
Chrome Mobile 74.0,80945,65926,3519.19,0.043476311,11,181218
Safari 17.0,232,166,3504.45,15.10538793,3,1845
Firefox 114.0,2953,1291,3499.08,1.184923806,9,21161
Opera Touch 3.6,2496,1515,3482.29,1.395148237,6,15431
Openwave 98.4,421,399,3468.78,8.239382423,6,5046
MIUI Browser 13.6,5271,3210,3311.55,0.628258395,9,17370
Safari 16.100000,664,296,3305.72,4.978493976,5,4227
Mozilla Firefox 77.0,1391,1150,3279.5,2.357656362,4,17155
Samsung Browser 7.4,147365,58155,3257.75,0.022106674,8,249129
Phoenix 12.0,589,491,3224.11,5.473870968,1,2555
Microsoft Edge 86.0,12598,10469,3215.55,0.255242896,5,288642
Seznam Browser 7.17,2,1,3191.38,1595.69,1,78
Whale 3.18,1270,807,3141.97,2.473992126,2,11372
Sleipnir 6.5,265,126,3066.25,11.57075472,3,2892
Firefox 100.1,233,180,2978.99,12.78536481,1,1063
Safari 8.0,1955,1852,2967.95,1.518132992,2,31677
Opera 92.0,757,455,2913.47,3.848705416,1,6435
Mozilla Firefox 65.0,7800,7595,2883.54,0.369684615,2,22807
Chrome Mobile 70.0,83937,73871,2840.7,0.03384324,9,222680
Safari 10.1.2,171,160,2799,16.36842105,1,3209
Opera 89.0,2121,1849,2789.52,1.315190948,3,6003
Firefox 106.2,292,210,2721.93,9.321678082,2,1126
Opera 93.0,1616,866,2680.53,1.658743812,6,14304
Mozilla Firefox 47.0,10555,10128,2649.97,0.251063003,1,25916
Safari 14.4,260,233,2598,9.992307692,2,1121
Safari 10.4,12,12,2598,216.5,1,63
Safari 11.1.1,927,821,2585.35,2.788942826,8,5406
Opera 90.0,1032,893,2565.28,2.485736434,5,5884
Opera Mobile 4.0,8521,6530,2517.63,0.2954618,3,36037
Google Chrome 71.0,396987,395568,2493.84,0.006281919,4,879503
Chrome Mobile 44.0,1084,972,2449.97,2.260119926,3,4507
Pale Moon 32.1,786,524,2415.94,3.073715013,3,7534
Chrome 110.41,82,35,2399.97,29.26792683,3,852
Chrome Mobile 69.0,5893,4693,2373.88,0.402830477,3,107942
Google Chrome 63.0,15286,12354,2365.57,0.154754023,4,205564
Safari 16.200001,559,246,2356.85,4.216189624,4,4357
Amazon Silk 110.1,1221,889,2303.83,1.886838657,4,7086
Firefox 111.5,41,35,2276.3,55.5195122,2,574
Opera Mobile 72.5,3391,2215,2226.84,0.656691242,8,14997
Firefox 111.3,37,29,2079.97,56.21540541,1,439
UC Browser 15.2,3231,2076,2070.81,0.64091922,1,26429
Opera 74.1,1082,731,2070.45,1.913539741,3,7286
Firefox 109,33013,32911,2064.81,0.062545361,6,52560
Chrome Mobile 72.0,13906,10959,2063.83,0.148412915,2,73765
Edge 99.112,618,323,2046.79,3.311957929,1,7578
Amazon Silk 106.5,931,722,2041.1,2.192373792,5,4668
Mozilla Firefox 60.0,4719,3684,2038.1,0.43189235,4,39294
Firefox 106.1,239,162,2037,8.523012552,1,836
Amazon Silk 90.2,22,7,2023,91.95454545,2,148
Edge 18.18363,21107,18207,1976.22,0.093628654,3,150125
Edge 15.15063,4669,3805,1921.96,0.41164275,1,29104
Opera 73.2,151,100,1878.99,12.44364238,1,1483
Chrome Mobile 68.0,12424,10020,1809.34,0.145632646,5,40047
Quark 6.2,11027,7362,1803.03,0.163510474,1,87448
Samsung Browser 14.0,7004,4586,1788.79,0.255395488,6,16220
Opera Touch 3.3,1470,1113,1782.38,1.212503401,1,5296
Chrome 11.0,274,202,1747.23,6.376751825,1,2400
HeyTap Browser,1643,1271,1746.85,1.063207547,1,7861
Maxthon Browser,1253,749,1699.99,1.356735834,1,11510
Chrome,1371,1268,1667.67,1.216389497,5,2168
Opera 91.0,693,419,1659.07,2.394040404,1,6287
Opera 74.2,292,207,1648.01,5.643869863,2,2005
Huawei Browser,1393,993,1614.38,1.158923187,1,9513
MIUI Browser 16.9,664,415,1591.48,2.396807229,1,4685
Chrome 115.0,823,544,1568.1,1.905346294,4,9205
MIUI Browser 14.7,564,262,1543.46,2.736631206,1,5488
t-online Browser 7.109,155,111,1526.87,9.850774194,3,2073
Opera 99.0,403,240,1508.69,3.743647643,3,4133
Safari 10.6,14,13,1503.97,107.4264286,2,160
Firefox 101.1,138,114,1499,10.86231884,1,648
Opera 73.3,919,615,1491.5,1.622959739,2,7349
Mypal 29.3,1105,756,1452.96,1.314895928,1,10853
Firefox 68.5,43,41,1449.5,33.70930233,1,254
MIUI Browser 13.16,3318,1700,1443.57,0.435072333,5,13087
Mozilla Firefox 39.0,505,438,1399.96,2.77219802,4,5081
Firefox 112.4,13,9,1389.84,106.9107692,1,391
Safari 9.0,7014,6543,1378,0.196464214,2,46920
Mozilla Firefox 59.0,2481,2359,1377.89,0.555376864,1,16289
Microsoft Edge 81.0,1919,1749,1358.49,0.707915581,2,18568
Edge 99.110,1273,642,1349.71,1.06025923,1,14506
Chrome Mobile 71.0,28827,25556,1349,0.046796406,1,57219
Google Chrome 62.0,3954,3524,1349,0.341173495,1,41075
MIUI Browser 13.19,3062,1733,1332.62,0.43521228,2,9155
Edge 46.3,1088,805,1321.36,1.214485294,3,5180
VivoBrowser 10.0,42540,39273,1311.59,0.030831923,2,79925
Safari 14.8,271,204,1309.61,4.832509225,2,1011
Opera Mobile 73.1,2961,1999,1308.79,0.442009456,2,13525
