Index,Taxonomy,Count,DataProvider,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6
34,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,40451524/Online Access-Work-Mobile Broadband(i.e. For Tablet,Cellphone)/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,"Online Access-Work-Mobile Broadband(i.e. For Tablet,Cellphone)",,,,
35,"25752/180byTwo_DataDirectory/,30868067/180byTwo from Anteriad > B2C > Demographic > Generations > Gen Y / Millennials/",1,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2C , Demographic , Generations , Gen Y 
36,"33281/Neustar AdAdvisor Identity Planner Audiences - Business/,4949605/Company Size: 100-500 employees/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Business,Company Size: 100-500 employees,,,,
37,"33271/Adstra Data Directory Taxonomy/,12815417/CONS_100033/",1,,Adstra Data Directory Taxonomy,CONS_100033,,,,
38,"14007/Neustar AdAdvisor - Individual Age Group/,6942736/25-29/",1,adadvisor,Neustar AdAdvisor - Individual Age Group,25-29,,,,
39,"36/Datonics Segments/,45167711/Electronics > Computers > Lenovo/",1,,Datonics Segments,Electronics , Computers , Lenovo,,
40,"14007/Neustar AdAdvisor - Individual Age Group/,6942734/18-19/",1,adadvisor,Neustar AdAdvisor - Individual Age Group,18-19,,,,
41,"31561/Webbula Data Directory/,38852683/Interest > Charitable Donations > Humanitarian/",1,webbula,Webbula Data Directory,Interest , Charitable Donations , Humanitarian,,
42,"25752/180byTwo_DataDirectory/,44580469/180byTwo from Anteriad > B2B Intent > Energy, Construction & Manufacturing > Energy > Climate-Smart Agriculture/",1,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2B Intent ," Energy, Construction & Manufacturing ", Energy , Climate-Smart Agriculture
43,"36/Datonics Segments/,45167710/Electronics > Computers > HP/",1,,Datonics Segments,Electronics , Computers , HP,,
44,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,9774572/HH Own Any LENOVO/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,HH Own Any LENOVO,,,,
45,"26303/Alliant DD Taxonomy/,4931588/Digital Purchasing Parents/",1,,Alliant DD Taxonomy,Digital Purchasing Parents,,,,
46,"33271/Adstra Data Directory Taxonomy/,12815386/CONS_100003/",1,,Adstra Data Directory Taxonomy,CONS_100003,,,,
47,"30646/Clickagy Data Directory/,20946263/Demographics > Generation > Generation X/",1,clickagy,Clickagy Data Directory,Demographics , Generation , Generation X,,
48,"33271/Adstra Data Directory Taxonomy/,12815600/WW_100055/",1,,Adstra Data Directory Taxonomy,WW_100055,,,,
49,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,9774509/Likely to Buy From Company Donating to Charity/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Likely to Buy From Company Donating to Charity,,,,
50,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4948078/Play Video Games Connected to Internet/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Play Video Games Connected to Internet,,,,
51,"33271/Adstra Data Directory Taxonomy/,34734083/CG_100071/",1,,Adstra Data Directory Taxonomy,CG_100071,,,,
52,"25752/180byTwo_DataDirectory/,30867972/180byTwo from Anteriad > B2C > Demographic > Family > Parents/",1,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2C , Demographic , Family , Parents
53,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,29074884/Made a Charitable Donation - Over $50 in the Last 12 Months/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Made a Charitable Donation - Over $50 in the Last 12 Months,,,,
54,"33280/Neustar AdAdvisor Identity Planner Audiences - ElementOne/,4947189/High Income Established Families/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - ElementOne,High Income Established Families,,,,
55,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4948081/Plays Action/Adventure Video Games Most/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Plays Action,Adventure Video Games Most,,,
56,"12160/Neustar AdAdvisor - Business/,2965207/Company Size: 500+ employees/",1,adadvisor,Neustar AdAdvisor - Business,Company Size: 500+ employees,,,,
57,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4948020/HH Subscribes to Cable TV/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,HH Subscribes to Cable TV,,,,
58,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4948443/Saw Drama Movies/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Saw Drama Movies,,,,
59,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,29074797/Watch Network TV Primetime-Comedy/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Watch Network TV Primetime-Comedy,,,,
60,"33281/Neustar AdAdvisor Identity Planner Audiences - Business/,4949609/Company Size: 5-19 employees/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Business,Company Size: 5-19 employees,,,,
61,"36489/Dell/,46195123/Control_dfc6vuk7tkj/",1,,Dell,Control_dfc6vuk7tkj,,,,
62,"36489/Dell/,46195122/Test_dcksi8jk3dk/",1,,Dell,Test_dcksi8jk3dk,,,,
63,"36489/Dell/,46158501/B2B Business Unit Segment/",1,,Dell,B2B Business Unit Segment,,,,
64,"25752/180byTwo_DataDirectory/,30867516/180byTwo from Anteriad > B2B > Decision Makers/",1,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2B , Decision Makers,,
65,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4947845/Uses Games Apps on Smartphone/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Uses Games Apps on Smartphone,,,,
66,"25752/180byTwo_DataDirectory/,30866833/180byTwo from Anteriad > ABM > Top Companies > IBM/",1,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , ABM , Top Companies , IBM,
67,"25752/180byTwo_DataDirectory/,30866846/180byTwo from Anteriad > ABM > Top Companies > Intel/",1,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , ABM , Top Companies , Intel,
68,"37656/Clickagy Public Taxonomy/,20946441/In-Market > Electronics > Computers > Desktops/",1,clickagy,Clickagy Public Taxonomy,In-Market , Electronics , Computers , Desktops,
69,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4947862/Owns Apple Computer/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Owns Apple Computer,,,,
70,"36489/Dell/,45101641/Test Segment/",1,,Dell,Test Segment,,,,
71,"12160/Neustar AdAdvisor - Business/,2965213/Small office or Home office Business Owners/",1,adadvisor,Neustar AdAdvisor - Business,Small office or Home office Business Owners,,,,
72,"12160/Neustar AdAdvisor - Business/,2965252/SOHO 2- Real Estate Services/",1,adadvisor,Neustar AdAdvisor - Business,SOHO 2- Real Estate Services,,,,
73,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,29074802/I Often Go on Long Car Trips for Vacation/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,I Often Go on Long Car Trips for Vacation,,,,
74,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,29074643/Ads Help Me Pick Products For My Kids/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Ads Help Me Pick Products For My Kids,,,,
75,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,9774476/Payment Methods for Leisure Travel:Online Bill Pay/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Payment Methods for Leisure Travel:Online Bill Pay,,,,
76,"33281/Neustar AdAdvisor Identity Planner Audiences - Business/,4949619/Scientists and Researchers/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Business,Scientists and Researchers,,,,
77,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,7374172/Own or Play Video Games/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Own or Play Video Games,,,,
78,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,9774557/Internet Video/Music/Tv Set-Brands Owned:Video Game System/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Internet Video,Music,Tv Set-Brands Owned:Video Game System,,
79,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,29074749/Watch Network TV Primetime-Game Show/Contest/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Watch Network TV Primetime-Game Show,Contest,,,
80,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,29074807/I Need Games On Computer with Top Line Graphics/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,I Need Games On Computer with Top Line Graphics,,,,
81,"33281/Neustar AdAdvisor Identity Planner Audiences - Business/,4949610/Small office or Home office Business Owners/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Business,Small office or Home office Business Owners,,,,
82,"33495/Reklaim Data Directory Taxonomy/,43425287/Reklaim > Demographic > Age > 18-54/",1,,Reklaim Data Directory Taxonomy,Reklaim , Demographic , Age , 18-54,
83,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4946616/I Try Keep Up/Developments in Technology/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,I Try Keep Up,Developments in Technology,,,
84,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,33447037/HH Uses Home Automation(Controlling Home From Anywhere)/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,HH Uses Home Automation(Controlling Home From Anywhere),,,,
85,"33281/Neustar AdAdvisor Identity Planner Audiences - Business/,4949572/SMALL 35- Small Businesses/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Business,SMALL 35- Small Businesses,,,,
86,"33281/Neustar AdAdvisor Identity Planner Audiences - Business/,4949581/SOHO 11- Business Services/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Business,SOHO 11- Business Services,,,,
87,"33281/Neustar AdAdvisor Identity Planner Audiences - Business/,4949665/IT Decision Maker/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Business,IT Decision Maker,,,,
88,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,29074767/Business Purchase Decision-Involved ($500k+) in the Last 12 Months/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Business Purchase Decision-Involved ($500k+) in the Last 12 Months,,,,
89,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,29074887/Business Purchase Decision-Involved ($10k-$100k) in the Last 12 Months/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Business Purchase Decision-Involved ($10k-$100k) in the Last 12 Months,,,,
90,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,29074896/I Buy Technology that Connects To Products I Have/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,I Buy Technology that Connects To Products I Have,,,,
91,"12894/Neustar AdAdvisor Consumer Audiences/,6919037/Retail > Shopper Segments > Budget/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Retail , Shopper Segments , Budget,,
92,"26303/Alliant DD Taxonomy/,4932086/College Graduates/",1,,Alliant DD Taxonomy,College Graduates,,,,
93,"23985/33Across Taxonomy/,8999908/Games Online/",1,33across,33Across Taxonomy,Games Online,,,,
94,"12894/Neustar AdAdvisor Consumer Audiences/,44997617/Education > Recent Graduates > All Graduates Major Undecided/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Education , Recent Graduates , All Graduates Major Undecided,,
95,"12160/Neustar AdAdvisor - Business/,2965411/SMALL 10- Business Services/",1,adadvisor,Neustar AdAdvisor - Business,SMALL 10- Business Services,,,,
96,"12894/Neustar AdAdvisor Consumer Audiences/,44997218/Retail > Shopping > Online Purchase PC & Digital Games Last 3Month/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Retail , Shopping , Online Purchase PC & Digital Games Last 3Month,,
97,"33281/Neustar AdAdvisor Identity Planner Audiences - Business/,4949574/SMALL 5- Real Estate Agents And Managers/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Business,SMALL 5- Real Estate Agents And Managers,,,,
98,"12894/Neustar AdAdvisor Consumer Audiences/,2996460/Education > Currently Enrolled > Currently Full/Part-Time College Student/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Education , Currently Enrolled , Currently Full,Part-Time College Student,
99,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4948391/Currently Full-Time College Student/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Currently Full-Time College Student,,,,
100,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4946824/Visit Dell.com in the Last 30 Days/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Visit Dell.com in the Last 30 Days,,,,
101,"12894/Neustar AdAdvisor Consumer Audiences/,40503414/Computers & Electronics > Use Laptop/Notebook/Netbook for Home Automation/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Computers & Electronics , Use Laptop,Notebook,Netbook for Home Automation,
102,"12160/Neustar AdAdvisor - Business/,2965369/MICRO 3- Real Estate Agents And Managers/",1,adadvisor,Neustar AdAdvisor - Business,MICRO 3- Real Estate Agents And Managers,,,,
103,"12160/Neustar AdAdvisor - Business/,2965437/SMALL 35- Small Businesses/",1,adadvisor,Neustar AdAdvisor - Business,SMALL 35- Small Businesses,,,,
104,"25752/180byTwo_DataDirectory/,44579680/180byTwo from Anteriad > Truthset Scored > B2C > Demographic > Education > College Graduate Degree/",1,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , Truthset Scored , B2C , Demographic , Education > College Graduate Degree
105,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4946617/Love to Buy New Gadgets and Appliances/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Love to Buy New Gadgets and Appliances,,,,
106,"12894/Neustar AdAdvisor Consumer Audiences/,6919276/Computers & Electronics > Cell/Smartphones/Tablets > Uses Games Apps on Smartphone/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Computers & Electronics , Cell,Smartphones,Tablets , Uses Games Apps on Smartphone
107,"12894/Neustar AdAdvisor Consumer Audiences/,40503004/Entertainment > Downloaded/Streamed From Internet > Internet Video/Music/Tv Set-Brands Owned: Video Game System/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Entertainment , Downloaded,Streamed From Internet , Internet Video,Music
108,"12894/Neustar AdAdvisor Consumer Audiences/,44997320/Computers & Electronics > Video Game Console > Type of Video Game System Own/Play Nintendo Switch/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Computers & Electronics , Video Game Console , Type of Video Game System Own,Play Nintendo Switch,
109,"12894/Neustar AdAdvisor Consumer Audiences/,40503008/Computers & Electronics > Video Game Console > Type of Video Game System Own/Play Playstation 4/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Computers & Electronics , Video Game Console , Type of Video Game System Own,Play Playstation 4,
110,"12894/Neustar AdAdvisor Consumer Audiences/,44997578/Web Browsing > Visited WebSite: Gamer Network Last 3Month/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Web Browsing , Visited WebSite: Gamer Network Last 3Month,,,
111,"12894/Neustar AdAdvisor Consumer Audiences/,6919502/Hobbies & Interests > Sports Interests > Major Lg Baseball-Very Interested-Last 12M/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Hobbies & Interests , Sports Interests , Major Lg Baseball-Very Interested-Last 12M,,
112,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4947873/Last Computer Purchase: <1 Year Ago/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Last Computer Purchase: <1 Year Ago,,,,
113,"12894/Neustar AdAdvisor Consumer Audiences/,2997579/Technology & Computing > Computer Purchase > HH's Most Recent PC Purchased- <1 Yr Ago/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Technology & Computing , Computer Purchase , HH's Most Recent PC Purchased- <1 Yr Ago,,
114,"12894/Neustar AdAdvisor Consumer Audiences/,2997796/Travel > Domestic Air Travel > Domestic Travel-Last Trip-Airline Last 12M: Southwest/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Travel , Domestic Air Travel , Domestic Travel-Last Trip-Airline Last 12M: Southwest,,
115,"12894/Neustar AdAdvisor Consumer Audiences/,2997794/Travel > Domestic Air Travel > Domestic Travel-Last Trip-Airline Last 12M: American Airlines/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Travel , Domestic Air Travel , Domestic Travel-Last Trip-Airline Last 12M: American Airlines,,
116,"12894/Neustar AdAdvisor Consumer Audiences/,2997252/Restaurants > Family Restaurant & Steak House > Family Restaurant-Most Last 30D-Olive Garden/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Restaurants , Family Restaurant & Steak House , Family Restaurant-Most Last 30D-Olive Garden,,
117,"12894/Neustar AdAdvisor Consumer Audiences/,2997253/Restaurants > Family Restaurant & Steak House > Family Restaurant-Most Last 30D-Outback Steakhouse/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Restaurants , Family Restaurant & Steak House , Family Restaurant-Most Last 30D-Outback Steakhouse,,
118,"12894/Neustar AdAdvisor Consumer Audiences/,2997245/Restaurants > Family Restaurant & Steak House > Family Restaurant-Most Last 30D-Cheesecake Factory/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Restaurants , Family Restaurant & Steak House , Family Restaurant-Most Last 30D-Cheesecake Factory,,
119,"12894/Neustar AdAdvisor Consumer Audiences/,2997131/Personal Finance > Banking > Banking/Investments: Have Savings Account(s)/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Personal Finance , Banking , Banking,Investments: Have Savings Account(s),
120,"12160/Neustar AdAdvisor - Business/,2965188/Finance, Insurance, and Accounting/",1,adadvisor,Neustar AdAdvisor - Business,"Finance, Insurance, and Accounting",,,,
121,"12894/Neustar AdAdvisor Consumer Audiences/,2997129/Personal Finance > Banking > Banking/Investments: Have Interest Bearing Check Account/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Personal Finance , Banking , Banking,Investments: Have Interest Bearing Check Account,
122,"12894/Neustar AdAdvisor Consumer Audiences/,6919426/Demographics > Occupation > Occupation: Professional- Architecture & Engineering/Life/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Demographics , Occupation , Occupation: Professional- Architecture & Engineering,Life,
123,"33281/Neustar AdAdvisor Identity Planner Audiences - Business/,4949642/Architects/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Business,Architects,,,,
124,"33282/Neustar AdAdvisor Identity Planner Audiences - Demographic/,40548194/Household Occupations | Household Member Occupation Group | Technical:Computers/Math and Architect/Engineering/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Demographic,Household Occupations | Household Member Occupation Group | Technical:Computers,Math and Architect,Engineering,,
125,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4947214/Occupation: Professional- Architecture & Engineering/Life/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Occupation: Professional- Architecture & Engineering,Life,,,
126,"12894/Neustar AdAdvisor Consumer Audiences/,6919386/Computers & Electronics > TV - When Acquired > HH Acquired Any TV 3-4 Years Ago/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Computers & Electronics , TV - When Acquired , HH Acquired Any TV 3-4 Years Ago,,
127,"12894/Neustar AdAdvisor Consumer Audiences/,6919388/Computers & Electronics > TV - When Acquired > HH Acquired Any TV 1-2 Years Ago/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Computers & Electronics , TV - When Acquired , HH Acquired Any TV 1-2 Years Ago,,
128,"12160/Neustar AdAdvisor - Business/,2965209/Company Size: 1-4 employees/",1,adadvisor,Neustar AdAdvisor - Business,Company Size: 1-4 employees,,,,
129,"12160/Neustar AdAdvisor - Business/,2965210/Company Size: 20-100 employees/",1,adadvisor,Neustar AdAdvisor - Business,Company Size: 20-100 employees,,,,
130,"12160/Neustar AdAdvisor - Business/,2965212/Company Size: 5-19 employees/",1,adadvisor,Neustar AdAdvisor - Business,Company Size: 5-19 employees,,,,
131,"12894/Neustar AdAdvisor Consumer Audiences/,44997519/Entertainment > Television Shows > Watched Sports Event Online: NFL Football Regular Season/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Entertainment , Television Shows , Watched Sports Event Online: NFL Football Regular Season,,
132,"12894/Neustar AdAdvisor Consumer Audiences/,2996464/Education > Highest Level of Education for Head of Household > Edu: Graduate Degree/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Education , Highest Level of Education for Head of Household , Edu: Graduate Degree,,
